"","Sum Sq","Df","F value","Pr(>F)"
"City_dist",0.626852508390613,1,0.136601447876294,0.713244078954587
"Residuals",229.44577752876,50,NA,NA
"City_dist1",0.356482496092269,1,0.0754334965795307,0.785349369171257
"Transect_ID",9.28171400631393,1,1.96405756081287,0.170704862052292
"City_dist:Transect_ID",11.472746948356,1,2.42769119710898,0.129044620125772
"Residuals1",151.22512401272,32,NA,NA
"Transect_ID1",9.03731737361855,1,1.88445622081317,0.17881606285464
"Residuals2",163.054353457168,34,NA,NA
"City_dist2",0.112085863396942,1,0.0221591379943069,0.882543965396966
"Residuals3",171.97958496739,34,NA,NA
