"","Sum Sq","Df","F value","Pr(>F)"
"City_dist",104.30150994722,1,0.814296565569773,0.371179733234663
"Residuals",6404.39333513825,50,NA,NA
"City_dist1",22.6936742470548,1,0.197800263109039,0.659496039150268
"Transect_ID",1.38465007705463,1,0.0120687442048262,0.913208196320157
"City_dist:Transect_ID",232.23738591516,1,2.02420355283525,0.164486129300783
"Residuals1",3671.36809876451,32,NA,NA
"Transect_ID1",2.54321761648134,1,0.0220231305512651,0.882902255539759
"Residuals2",3926.29915892673,34,NA,NA
"City_dist2",23.852241786481,1,0.207676893603952,0.651491668239036
"Residuals3",3904.99013475673,34,NA,NA
