Patch_ID,Pop_ID,Population,Latitude,Longitude,Transect_ID,Dist_city_center_km_Yonge_Bloor_OLD
AS001,MW001,1,43.550556,-79.663,South,15.89
AS002,MW002,2,43.550225,-79.654062,South,15.51
AS003,MW003,3,43.565106,-79.671002,South,15.82
AS005,MW004,4,43.567334,-79.686386,South,16.47
AS010,MW005,5,43.493329,-79.747541,Rural,21.53
AS014,MW006,6,43.438669,-79.780878,Rural,25.05
AS017,MW007,7,43.434493,-79.904435,Rural,30.37
AS021,MW008,8,43.457451,-79.866815,Rural,27.94
AS022,MW009,9,43.516263,-79.77922,Rural,22.16
AS023,MW010,10,43.525816,-79.791571,Rural,22.44
AS024,MW011,11,43.589594,-79.638468,South,13.68
AS025,MW012,12,43.534585,-79.645432,South,15.68
AS026,MW013,13,43.615384,-79.570454,South,9.89
AS027,MW014,14,43.648581,-79.521463,South,7.05
AS028,MW015,15,43.661177,-79.500382,South,5.98
AS029,MW016,16,43.711948,-79.535894,North,8.65
AS030,MW017,17,43.501061,-79.844567,Rural,25.57
AS031,MW018,18,43.484111,-79.837702,Rural,25.78
AS032,MW019,19,43.41401,-79.953028,Rural,33.19
AS033,MW020,20,43.387612,-79.959232,Rural,34.41
AS034,MW021,21,43.399222,-79.930576,Rural,32.77
AS035,MW022,22,43.377146,-79.973861,Rural,35.42
AS036,MW023,23,43.371308,-79.981819,Rural,35.98
AS037,MW024,24,43.363349,-80.01471,Rural,37.66
AS038,MW025,25,43.726774,-79.432109,North,5.5
AS039,MW026,26,43.719453,-79.445163,North,5.42
AS040,MW027,27,43.726466,-79.445593,North,5.82
AS041,MW028,28,43.713472,-79.463271,North,5.7
AS042,MW029,29,43.713584,-79.475768,North,6.17
AS043,MW030,30,43.71387,-79.505919,North,7.4
AS044,MW031,31,43.713092,-79.515599,North,7.79
AS045,MW032,32,43.66963,-79.498027,South,5.93
AS046,MW033,33,43.358912,-80.043033,Rural,39.03
AS047,MW034,34,43.357422,-80.052572,Rural,39.49
AS048,MW035,35,43.349551,-80.098407,Rural,41.74
AS049,MW036,36,43.321018,-80.049313,Rural,40.74
AS050,MW037,37,43.702158,-79.543737,North,8.73
AS051,MW038,38,43.701032,-79.549473,North,8.97
AS052,MW039,39,43.701432,-79.56251,North,9.6
AS053,MW040,40,43.690086,-79.572325,North,9.85
AS054,MW041,41,43.675131,-79.571575,North,9.62
AS055,MW042,42,43.664067,-79.577284,North,9.83
AS056,MW043,43,43.32296,-80.038276,Rural,40.2
AS057,MW044,44,43.330042,-79.995566,Rural,38.18
AS058,MW045,45,43.335538,-79.962974,Rural,36.64
AS059,MW046,46,43.343046,-79.959704,Rural,36.19
AS060,MW047,47,43.519441,-79.750471,Rural,20.77
AS061,MW048,48,43.530493,-79.738194,Rural,19.88
AS062,MW049,49,43.534939,-79.732912,South,19.51
AS063,MW050,50,43.535065,-79.721652,South,19
AS064,MW051,51,43.669676,-79.422881,South,2.29
AS065,MW052,52,43.680726,-79.411251,South,2.27
AS066,MW053,53,43.691138,-79.427943,South,3.36
AS067,MW054,54,43.67876,-79.431977,South,2.99
AS068,MW055,55,43.674579,-79.446438,South,3.51
AS069,MW056,56,43.671068,-79.452408,South,3.72
AS070,MW057,57,43.67024,-79.462135,South,4.17
AS071,MW058,58,43.671812,-79.474258,South,4.79
AS072,MW059,59,43.670454,-79.482484,South,5.17
AS073,MW060,60,43.646988,-79.583587,North,10.15
AS074,MW061,61,43.654607,-79.607519,North,11.33
AS075,MW062,62,43.651476,-79.617876,North,11.85
AS076,MW063,63,43.63776,-79.635241,North,12.78
AS077,MW064,64,43.628807,-79.652009,North,13.69
AS078,MW065,65,43.626304,-79.673743,North,14.79
AS079,MW066,66,43.618104,-79.701542,North,16.25
AS080,MW067,67,43.613475,-79.705867,North,16.52
AS081,MW068,68,43.595802,-79.719547,North,17.45
AS082,MW069,69,43.553597,-79.699608,South,17.45
AS083,MW070,70,43.571026,-79.733337,North,18.59
AS084,MW071,71,43.564655,-79.720469,North,18.13
AS085,MW072,72,43.5789,-79.713398,North,17.47
AS086,MW073,73,43.554564,-79.756834,North,20.08
AS087,MW074,74,43.568721,-79.651832,South,14.84
AS088,MW075,75,43.573691,-79.63648,South,14
AS089,MW076,76,43.579335,-79.630017,South,13.55
AS090,MW077,77,43.589966,-79.6183,South,12.73
AS091,MW078,78,43.591194,-79.608405,South,12.24
AS092,MW079,79,43.601609,-79.583684,South,10.82
AS093,MW080,80,43.633829,-79.553119,South,8.75
