"","Pop_ID","Population","Alive_ramets_DC3","Block","Column","Comment_DC1","Comment_DC2","Comment_DC3","Date_Measured_DC1","Date_Measured_DC2","Date_Measured_DC3","Dead_DC1","Dead_DC2","Dead_DC3","Dead_ramets_DC3","Deer_damage_DC3","Exposed_rhizome_DC1","Family","Herbivory_DC3","Herbivory_mean_DC3","Measurer_DC1","Measurer_DC2","Measurer_DC3","Monarch_damage_DC3","Num_Ramets_DC1","Num_Ramets_DC2","Replicate","Row","Total_Height_DC1","Total_Height_DC2","Total_height_DC3","Dead_2019","date_diff","rel_growth_rate","X","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_score"
"1","MW001",1,NA,4,43,"","",NA,"6/4/2019","6/17/2019","9/1/2019","no","0","1",NA,"0","1",3,"",NA,"Sophie","Sophie","Sophie","0",2,1,1,13,43,79,0,0,89,-0.0310247204010513,1,43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377
"2","MW001",1,1,2,46,"","",NA,"6/6/2019","6/18/2019","9/3/2019","no","0","0",0,"0","0",1,"0,45,50,4,53",0.304,"Sophie","Sophie","Sophie","1",3,1,4,9,64,95,14.8,0,89,-0.0164523135122427,1,43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377
"3","MW001",1,3,4,27,"","",NA,"6/4/2019","6/17/2019","9/1/2019","no","0","0",0,"0","0",2,NA,NA,"Sophie","Sophie","Sophie","1",1,2,3,13,5,33,14.1,0,89,0.0116487290443823,1,43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377
"4","MW001",1,2,1,18,"","",NA,"6/6/2019","6/18/2019","9/2/2019","no","0","0",0,"1","0",2,"0,0,0,0,0",0,"Sophie","Sophie","Sophie","1",2,1,4,11,13,21,18.1,0,88,0.00376093841829822,1,43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377
"5","MW001",1,1,3,2,"","",NA,"6/3/2019","6/16/2019","8/31/2019","maybe","0","0",0,"0","0",3,"0,0,0,0,8",0.016,"Sophie","Sophie","Sophie","0",0,1,2,12,0,19,11.1,0,89,0.0158083720035763,1,43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377
"6","MW001",1,3,2,37,"","",NA,"6/6/2019","6/18/2019","9/3/2019","no","0","0",0,"0","0",1,"0,0,0,0,0",0,"Sophie","Sophie","Sophie","1",1,2,1,7,30,89,23.2,0,89,-0.00288814722460552,1,43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377
"7","MW001",1,2,3,15,"","",NA,"6/3/2019","6/16/2019","8/30/2019","maybe","0","0",0,"1","0",3,NA,NA,"Sophie","Sophie","Sophie","1",0,1,3,20,0,16,15.6,0,88,0.0198553512983579,1,43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377
"8","MW001",1,2,1,5,"","",NA,"6/6/2019","6/18/2019","9/2/2019","no","0","0",0,"0","0",4,"2,78,22,35,0",0.274,"Sophie","Sophie","Sophie","0",1,1,3,9,7,16,19.5,0,88,0.0116420945058453,1,43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377
"9","MW001",1,3,2,35,"","",NA,"6/7/2019","6/18/2019","9/3/2019","no","0","0",0,"0","0",3,"0,0,0,0,0",0,"Sophie","Sophie","Sophie","1",4,4,4,6,135,235,26.8,0,88,-0.0183735555786548,1,43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377
"10","MW001",1,1,3,11,"","",NA,"6/3/2019","6/16/2019","8/30/2019","no","0","0",0,"0","0",5,NA,NA,"Sophie","Sophie","Sophie","1",2,1,4,20,42,126,14.5,0,88,-0.0120854655551914,1,43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377
