"","Pop_ID","Population","X6.6_main","X11.7","X15_main","X17.2","X17.6_main","X18.9_internalstandard","X23.2","total","X","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score"
"1","MW001",1,0.09795983,0,0.038378411,0.008226998,0.042729037,0.4,0.002468849,0.189763126,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"2","MW002",2,0.155868501,0,0.047004744,0.0059806,0.026216572,0.4,0.004510638,0.239581057,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"3","MW003",3,0.285184774,0,0.02543283,0.003869922,0.02397751,0.4,0,0.338465035,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"4","MW004",4,0.176764231,0,0.041291704,0.011787278,0.031420619,0.4,0.004634576,0.265898407,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"5","MW005",5,0.200217466,0,0.013167989,0.008891579,0.037031226,0.4,0,0.25930826,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"6","MW006",6,0.073003663,0,0.056271166,0.015113657,0.052179136,0.4,0.005740042,0.202307664,6,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"7","MW007",7,0.195182151,0,0.033295221,0.009026511,0.01675772,0.4,0.00343301,0.257694612,7,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825
"8","MW008",8,0.116389828,0,0.009639515,0.005363731,0.012748626,0.4,0,0.1441417,8,"AS021",43.457451,-79.866815,"Rural",45019.0640911002,45.0190640911002,"Rural",-1.67951
"9","MW009",9,0.214173347,0,0.036902764,0.015643866,0.031044592,0.4,0,0.297764568,9,"AS022",43.516263,-79.77922,"Rural",35701.894221116,35.701894221116,"Rural",-2.37356
"10","MW011",11,0.04100767,0,0.022173583,0.013466403,0.014354611,0.4,0,0.091002267,11,"AS024",43.589594,-79.638468,"South",22044.809923962,22.044809923962,"Urban",2.10156
"11","MW012",12,0.205504094,0,0.103079532,0.017188807,0.030551454,0.4,0,0.356323886,12,"AS025",43.534585,-79.645432,"South",25268.1118797278,25.2681118797278,"Urban",0.4053
"12","MW013",13,0.205585951,0,0.097730565,0.01440691,0.050706181,0.4,0,0.368429607,13,"AS026",43.615384,-79.570454,"South",15936.9812417788,15.9369812417788,"Urban",2.12016
"13","MW014",14,0.148797681,0,0.039961655,0.008579918,0.012401548,0.4,0,0.209740802,14,"AS027",43.648581,-79.521463,"South",11353.9911211033,11.3539911211033,"Urban",1.74833
"14","MW015",15,0.334369144,0,0.08843534,0.009083301,0.014596816,0.4,0.002479115,0.448963715,15,"AS028",43.661177,-79.500382,"South",9637.37613958796,9.63737613958796,"Urban",0.148848
"15","MW016",16,0.557114728,0.072895198,0.070439019,0.013934154,0.023141868,0.4,0,0.737524966,16,"AS029",43.711948,-79.535894,"North",13928.7929727584,13.9287929727584,"Urban",0.113649
