"","Row","Column","Block","Population","Family","Replicate","Date","Dead","Monarch_Quantity_Past","Monarch_Quantity_Observed","Monarch_Note","Tetraopes_tetropthalmus","Liriomyza_asclepiadis","Aphis_nerii","Aphis_asclepiadis","Myzocallis_asclepiadis","Euchaetes_egle","Lygaeus_kalmii","Labidomera_clivicollis","Rhyssomatus_lineaticollis","Comment","Sample"
"1",21,46,"4","47","2","5","07/13/2020","0",0,0,"",0,1,0,0,0,0,0,0,0,"","July"
"2",21,45,"4","11","3","3","07/13/2020","0",0,0,"",1,1,0,3,0,0,0,0,0,"","July"
"3",21,44,"4","56","2","5","07/13/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"4",21,43,"4","3","4","2","07/13/2020","0",0,0,"",0,8,0,0,0,0,0,0,0,"","July"
"5",21,42,"4","31","2","5","07/13/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"6",21,41,"4","12","3","3","07/13/2020","0",0,0,"",0,13,0,22,0,0,0,0,0,"","July"
"7",21,40,"4","27","1","3","07/13/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"8",21,39,"4","40","4","4","07/13/2020","0",0,0,"",0,9,0,0,0,0,1,0,0,"","July"
"9",21,38,"4","3","3","3","07/13/2020","0",0,1,"1 egg",0,0,0,11,0,0,0,0,0,"","July"
"10",21,37,"4","23","1","3","07/13/2020","0",0,0,"",0,5,0,0,0,0,0,0,0,"","July"
"11",21,36,"4","27","3","5","07/13/2020","0",0,0,"",0,19,0,0,0,0,0,0,0,"","July"
"12",21,35,"4","19","5","4","07/13/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"13",21,34,"4","7","1","4","07/13/2020","0",0,0,"",0,6,0,15,0,0,0,0,0,"","July"
"14",21,33,"4","35","4","2","07/13/2020","0",0,0,"",0,15,0,0,0,0,1,0,0,"","July"
"15",21,32,"4","39","4","3","07/13/2020","0",0,0,"",0,42,0,2,0,0,0,0,0,"","July"
"16",21,30,"4","6","4","1","07/13/2020","0",0,0,"",0,17,0,2,0,0,0,0,0,"","July"
"17",21,29,"4","68","2","1","07/13/2020","0",0,0,"",0,8,0,0,0,0,0,0,0,"","July"
"18",21,28,"4","8","2","3","07/13/2020","0",0,0,"",0,7,0,0,0,0,0,0,0,"","July"
"19",21,27,"4","18","2","2","07/13/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"20",21,26,"4","30","5","5","07/13/2020","0",0,0,"",0,3,0,0,0,0,0,0,0,"","July"
"21",21,24,"3","35","5","4","07/13/2020","0",0,0,"",0,5,0,0,0,0,0,0,0,"","July"
"22",21,23,"3","18","4","1","07/13/2020","0",0,0,"",0,2,0,0,0,0,1,0,0,"","July"
"23",21,22,"3","6","5","1","07/13/2020","0",0,0,"",0,1,0,0,0,0,0,0,0,"","July"
"24",21,21,"3","30","3","4","07/13/2020","0",0,1,"1 egg",0,12,0,2,0,0,0,0,0,"","July"
"25",21,20,"3","77","4","1","07/13/2020","0",0,0,"",0,16,0,2,0,0,0,0,0,"","July"
"26",21,19,"3","47","5","5","07/13/2020","0",0,0,"",0,10,0,2,0,0,0,0,0,"","July"
"27",21,17,"3","42","2","3","07/13/2020","0",0,1,"1 caterpillar",0,10,0,0,0,0,0,0,0,"","July"
