"","Pop_ID","Population","Row","Column","Block","Family","Replicate","Comment","Date","Dead","Leaf_not_coll","Date_weighed_Soaked","Leaf_weight_g_Soaked","Photographed","Date_processed_ImageJ","Area_mm_sq","Length_mm","Width_mm","Len_div_wid","Comment.1","Dates_dried","Date_weighed_dried","Leaf_weight_g_Dried","Weighed_by","SLA","LDMC","X","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score"
"1","MW001",1,4,11,1,4,1,NA,NA,0,NA,"8/6/2020",0.7763,"yes",20200913,2831.417,111.25,37.08,3.0003,"","6/1/21-6/3/21","6/3/2021",0.1355,"Olivia",20.89606642,0.174545923,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"2","MW001",1,4,7,1,2,1,NA,NA,0,NA,"8/6/2020",1.1706,"yes",20200913,3868.959,135.29,38.18,3.5435,"","6/1/21-6/3/21","6/3/2021",0.2102,"Olivia",18.40608468,0.179566035,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"3","MW001",1,7,37,2,1,1,NA,NA,0,NA,"8/6/2020",2.8777,"yes",20200921,7567.548,156.61,65.25,2.4002,"","5/22/21-5/24/21","5/31/2021",0.5486,"Olivia ",13.79429092,0.190638357,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"4","MW001",1,20,15,3,3,3,NA,NA,0,NA,"8/8/2020",2.9265,"yes",20201019,6190.516,157.69,54.56,2.8902,"","5/26/21-5/28/21","5/31/2021",0.3985,"Olivia ",15.53454454,0.136169486,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"5","MW001",1,9,5,1,4,3,NA,NA,0,NA,"8/7/2020",1.6634,"yes",20200924,5844.26,153.64,51.71,2.9712,"","5/18/21-5/20/21","5/20/2021",0.2469,"Olivia",23.67055488,0.148430925,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"6","MW001",1,10,5,1,5,2,NA,NA,0,NA,"8/7/2020",1.3322,"yes",20200923,3495.946,132.65,32.33,4.103,"","5/22/21-5/24/21","5/31/2021",0.2167,"Olivia ",16.13265344,0.162663264,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"7","MW001",1,19,31,4,4,2,NA,NA,0,NA,"",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"8","MW001",1,6,38,2,4,5,NA,NA,0,NA,"8/6/2020",0.8338,"No",NA,NA,NA,NA,NA,"there isn't an image associated with them","5/22/21-5/24/21","5/31/2021",0.1184,"Olivia ",NA,0.14200048,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"9","MW001",1,15,16,3,5,5,NA,NA,0,NA,"8/7/2020",1.2944,"yes",20201009,5714.781,144.71,54.04,2.6778,"","5/18/21-5/20/21","5/20/2021",0.1801,"Olivia",31.73115491,0.139137825,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"10","MW001",1,4,43,2,3,5,NA,NA,0,NA,"8/6/2020",1.3624,"yes",20200914,3653.924,115.36,45.61,2.5293,"","6/1/21-6/3/21","6/3/2021",0.1936,"Olivia",18.87357438,0.142102173,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"11","MW001",1,20,11,3,5,4,NA,NA,0,NA,"8/8/2020",1.2987,"yes",20201019,3936.485,116.55,46.7,2.4957,"folded","5/26/21-5/28/21","5/31/2021",0.1563,"Olivia ",25.18544466,0.12035112,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"12","MW001",1,13,31,4,2,5,NA,NA,0,NA,"8/7/2020",0.4002,"yes",20201005,1146.051,66.96,24.27,2.759,"","5/18/21-5/20/21","5/20/2021",0.0662,"Olivia",17.31194864,0.165417291,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"13","MW001",1,13,43,4,3,1,NA,NA,1,NA,"",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"14","MW001",1,6,26,2,1,3,NA,NA,0,NA,"8/6/2020",0.9685,"yes",20200918,2176.967,89.17,34.13,2.6127,"","5/22/21-5/24/21","5/31/2021",0.1243,"Olivia ",17.51381335,0.128342798,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"15","MW001",1,3,6,1,1,2,NA,NA,0,NA,"8/6/2020",0.3508,"yes",20200910,1185.933,74.7,22.85,3.2691,"","6/1/21-6/3/21","6/3/2021",0.0692,"Olivia",17.13776012,0.197263398,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"16","MW001",1,12,2,3,3,2,NA,NA,0,NA,"8/7/2020",0.6277,"yes",20200928,1576.06,86.87,28.37,3.062,"","5/22/21-5/24/21","5/31/2021",0.0876,"Olivia ",17.99155251,0.139557113,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"17","MW001",1,11,18,1,2,4,NA,NA,0,NA,"8/7/2020",2.3323,"yes",20200929,6084.221,144.11,55.42,2.6003,"","5/22/21-5/24/21","5/28/2021",0.4615,"Olivia",13.18357746,0.197873344,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"18","MW001",1,19,27,4,5,1,NA,NA,0,NA,"8/8/2020",2.4064,"yes",20201018,6624.729,158.56,55.03,2.8813,"","5/26/21-5/28/21","6.1.21",0.3011,"Olivia",22.00175689,0.125124668,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"19","MW001",1,17,46,4,4,4,NA,NA,0,NA,"8/8/2020",2.2929,"yes",20201011,5398.495,147.6,68.77,2.1463,"folded","5/15/21-5/17/21","5/20/2021",0.3045,"Olivia",17.72904762,0.132801256,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"20","MW001",1,13,27,4,2,3,NA,NA,0,NA,"8/7/2020",1.3778,"yes",20201005,3479.055,91.41,53.32,1.7144,"","5/18/21-5/20/21","5/20/2021",0.1692,"Olivia",20.56179078,0.122804471,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"21","MW001",1,9,46,2,1,4,NA,NA,0,NA,"8/7/2020",0.5451,"yes",20200926,1483.222,81.04,24.12,3.3599,"","5/3/2021-5/5/2021","5/5/2021",0.0644,"Sophie",23.03139752,0.11814346,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"22","MW001",1,16,23,3,5,3,NA,NA,0,NA,"8/8/2020",0.2683,"yes",20201011,1184.644,77.76,20.59,3.7766,"","5/22/21-5/24/21","5/28/2021",0.0377,"Olivia",31.42291777,0.14051435,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"23","MW001",1,4,8,1,2,2,NA,NA,0,NA,"8/6/2020",0.7689,"yes",20200913,2493.756,94.34,37.59,2.5097,"","6/1/21-6/3/21","6/3/2021",0.1114,"Olivia",22.38560144,0.144882299,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"24","MW001",1,3,45,2,1,5,NA,NA,0,NA,"8/6/2020",0.7146,"yes",20200913,2078.032,94.57,30.9,3.0605,"","6/1/21-6/3/21","6/3/2021",0.1344,"Olivia",15.46154762,0.188077246,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"25","MW001",1,6,35,2,3,4,NA,NA,0,NA,"8/6/2020",1.166,"No",NA,NA,NA,NA,NA,"there isn't an image associated with them","5/22/21-5/24/21","5/31/2021",0.1814,"Olivia ",NA,0.155574614,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"26","MW002",2,4,42,2,2,2,NA,NA,0,NA,"8/6/2020",1.2633,"yes",20200914,3070.206,115.07,35.99,3.1973,"","6/1/21-6/3/21","6/3/2021",0.2361,"Olivia",13.00383736,0.186891475,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"27","MW002",2,11,9,1,1,2,NA,NA,0,NA,"8/7/2020",1.8125,"yes",20200928,5081.641,129.88,50.12,2.5914,"","5/22/21-5/24/21","5/28/2021",0.3759,"Olivia",13.51859803,0.207393103,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"28","MW002",2,3,14,1,2,5,NA,NA,0,NA,"8/6/2020",1.8135,"yes",20200910,4850.416,139.25,44.65,3.1187,"","6/1/21-6/3/21","6/3/2021",0.311,"Olivia",15.59619293,0.171491591,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"29","MW002",2,2,12,1,1,1,NA,NA,0,NA,"8/6/2020",1.052,"yes",20200910,2520.697,114.36,30.83,3.7094,"","6/1/21-6/3/21","6/3/2021",0.2551,"Olivia",9.88121129,0.242490494,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"30","MW002",2,19,16,3,5,1,NA,NA,1,NA,"",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"31","MW002",2,7,45,2,5,4,NA,NA,0,NA,"8/6/2020",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"32","MW002",2,4,19,1,3,1,NA,NA,0,NA,"8/6/2020",0.4225,"yes",20200913,1467.285,78.98,27.14,2.9101,"","6/1/21-6/3/21","6/3/2021",0.0663,"Olivia",22.13099548,0.156923077,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"33","MW002",2,21,13,3,4,4,NA,NA,1,NA,"",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
