"","Row","Column","Block","Population","Family","Replicate","Filter_paper_and_tube_weight_mg","Date_paper_and_tube_measured","Date_latex_collected","Surveyor","Latex_not_collected","Latex_and_filter_paper_and_tube_weight_mg","Latex_weight_mg"
"1",1,13,"1","40","3","5",1070.0876,"8/10/2020","8/21/2020","Sophie",NA,1080.99,10.9024
"2",1,14,"1","41","2","5",1061.5501,"8/10/2020","8/21/2020","Sophie",NA,1072.2,10.6499
"3",1,15,"1","14","2","1",1069.2046,"8/10/2020","8/21/2020","Sophie",NA,1078.41,9.2054
"4",1,17,"1","15","5","5",1060.2334,"8/10/2020","8/21/2020","Sophie",NA,1064.92,4.6866
"5",1,19,"1","7","2","2",1066.6106,"8/10/2020","8/21/2020","Sophie",NA,1081.06,14.4494
"6",1,21,"1","15","5","2",1065.1906,"8/10/2020","8/21/2020","Sophie",NA,1075.91,10.7194
"7",1,22,"1","3","3","5",1073.5268,"8/10/2020","8/21/2020","Sophie",NA,1078.06,4.5332
"8",1,23,"1","68","4","5",1080.81,"8/10/2020","8/21/2020","Sophie",NA,1105.45,24.64
"9",1,24,"2","11","3","5",1069.62156,"8/10/2020","8/21/2020","Sophie",NA,1076.11,6.48844
"10",1,25,"2","36","4","2",1075.877,"8/10/2020","8/21/2020","Sophie",NA,1082.27,6.393
"11",1,27,"2","67","3","5",1071.591,"8/10/2020","8/21/2020","Sophie",NA,1125.52,53.929
"12",1,29,"2","5","2","2",1062.2902,"8/10/2020","8/21/2020","Sophie",NA,1073.6,11.3098
"13",1,31,"2","31","1","1",1065.8573,"8/10/2020","8/21/2020","Sophie",NA,1074.8,8.9427
"14",1,32,"2","62","5","2",1085.119,"8/10/2020","8/21/2020","Sophie",NA,1087.53,2.411
"15",1,33,"2","13","1","5",1058.1597,"8/10/2020","8/21/2020","Sophie",NA,1064.37,6.2103
"16",1,34,"2","13","2","3",1062.1068,"8/10/2020","8/21/2020","Sophie",NA,1066.29,4.1832
"17",1,36,"2","30","3","1",1073.3476,"8/10/2020","8/21/2020","Sophie",NA,1080.17,6.8224
"18",1,37,"2","18","1","2",1071.7309,"8/10/2020","8/21/2020","Sophie",NA,1082.29,10.5591
"19",1,38,"2","31","5","1",1067.307,"8/10/2020","8/21/2020","Sophie",NA,1085.41,18.103
"20",1,40,"2","8","1","4",1068.5794,"8/10/2020","8/21/2020","Sophie",NA,1083.58,15.0006
"21",1,42,"2","4","1","3",1078.8983,"8/10/2020","8/21/2020","Sophie",NA,1085.46,6.5617
"22",1,43,"2","36","3","3",1072.5171,"8/10/2020","8/21/2020","Sophie",NA,1085.06,12.5429
"23",1,44,"2","30","4","5",1058.7916,"8/10/2020","8/21/2020","Sophie",NA,1071.25,12.4584
"24",1,45,"2","62","2","1",1082.204,"8/10/2020","8/21/2020","Sophie",NA,1087.65,5.446
"25",1,46,"2","6","2","4",1069.7652,"8/10/2020","8/21/2020","Sophie",NA,1073.75,3.9848
"26",2,1,"1","79","4","5",1069.8034,"8/10/2020","8/21/2020","Sophie",NA,1077.12,7.3166
"27",2,2,"1","6","2","5",1060.3429,"8/10/2020","8/21/2020","Sophie",NA,1063.09,2.7471
"28",2,3,"1","68","1","4",1038.1584,"8/10/2020","8/21/2020","Sophie",NA,1051.4,13.2416
"29",2,4,"1","39","2","1",1079.7981,"8/10/2020","8/21/2020","Sophie",NA,1084.14,4.3419
"30",2,5,"1","49","3","5",1065.6209,"8/10/2020","8/21/2020","Sophie",NA,1080.26,14.6391
"31",2,6,"1","14","5","2",1063.9417,"8/10/2020","8/21/2020","Sophie",NA,1073.9,9.9583
