Row,Column,Block,Population,Family,Replicate,Comment,Date,Height_ram1,Height_ram2,Height_ram3,Height_ram4,Height_ram5,Height_ram6,Height_ram7,Height_ram8,Total_Height,Dead
1,1,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,2,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,3,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,4,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,5,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,6,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,7,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,8,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,9,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,10,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,11,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,12,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,13,1,40,3,5,no living tissue,9/4/2020,,,,,,,,,0,1
1,14,1,41,2,5,,9/4/2020,27.1,,,,,,,,27.1,0
1,15,1,14,2,1,,9/4/2020,70.4,,,,,,,,70.4,0
1,16,1,40,4,5,,9/4/2020,,,,,,,,,0,1
1,17,1,15,5,5,,9/4/2020,25.1,,,,,,,,25.1,0
1,18,1,49,4,2,,9/4/2020,,,,,,,,,0,1
1,19,1,7,2,2,,9/4/2020,43.6,56.3,70.2,58.1,,,,,228.2,0
1,20,1,29,3,5,,9/4/2020,,,,,,,,,0,1
1,21,1,15,5,2,,9/4/2020,17.6,59.3,,,,,,,76.9,0
1,22,1,3,3,5,,9/4/2020,30,9.3,7.6,17.2,,,,,64.1,0
1,23,1,68,4,5,,9/4/2020,45.3,,,,,,,,45.3,0
1,24,2,11,3,5,,9/4/2020,58.1,,,,,,,,58.1,0
1,25,2,36,4,2,,9/4/2020,23.9,26.8,,,,,,,50.7,0
1,26,2,40,3,4,,9/4/2020,14,10.2,,,,,,,24.2,0
1,27,2,67,3,5,,9/4/2020,76.9,61.1,5.1,4.4,3.7,3.4,1.9,,156.5,0
1,28,2,13,3,4,,9/4/2020,,,,,,,,,0,1
1,29,2,5,2,2,,9/4/2020,50.4,34.2,27.5,,,,,,112.1,0
1,30,2,31,3,4,,9/4/2020,,,,,,,,,0,1
1,31,2,31,1,1,,9/4/2020,21,35.1,44.4,,,,,,100.5,0
1,32,2,62,5,2,no living tissue,9/4/2020,,,,,,,,,0,1
1,33,2,13,1,5,,9/4/2020,23.4,,,,,,,,23.4,0
1,34,2,13,2,3,,9/4/2020,15.8,18,,,,,,,33.8,0
1,35,2,19,3,2,,9/4/2020,4.5,16.8,10,18.2,24.5,,,,74,0
