Row,Column,Block,Population,Family,Replicate,Date,Row,Column,Dead,Monarch_Quantity_Past,Monarch_Quantity_Observed,Monarch_Note,Tetraopes_tetropthalmus,Liriomyza_asclepiadis,Aphis_nerii,Aphis_asclepiadis,Myzocallis_asclepiadis,Euchaetes_egle,Lygaeus_kalmii,Labidomera_clivicollis,Rhyssomatus_lineaticollis,Comment,,,,,,,,,
21,46,4,47,2,5,07/13/2020,21,46,0,,,,,1,,,,,,,,,,,,,,,,,
21,45,4,11,3,3,07/13/2020,21,45,0,,,,1,1,,3,,,,,,,,,,,,,,,
21,44,4,56,2,5,07/13/2020,21,44,0,,,,,,,,,,,,,,,,,,,,,,
21,43,4,3,4,2,07/13/2020,21,43,0,,,,,8,,,,,,,,,,,,,,,,,
21,42,4,31,2,5,07/13/2020,21,42,0,,,,,,,,,,,,,,,,,,,,,,
21,41,4,12,3,3,07/13/2020,21,41,0,,,,,13,,22,,,,,,,,,,,,,,,
21,40,4,27,1,3,07/13/2020,21,40,0,,,,,,,,,,,,,,,,,,,,,,
21,39,4,40,4,4,07/13/2020,21,39,0,,,,,9,,,,,1,,,,,,,,,,,,
21,38,4,3,3,3,07/13/2020,21,38,0,,1,1 egg,,,,11,,,,,,,,,,,,,,,
21,37,4,23,1,3,07/13/2020,21,37,0,,,,,5,,,,,,,,,,,,,,,,,
21,36,4,27,3,5,07/13/2020,21,36,0,,,,,19,,,,,,,,,,,,,,,,,
21,35,4,19,5,4,07/13/2020,21,35,0,,,,,,,,,,,,,,,,,,,,,,
21,34,4,7,1,4,07/13/2020,21,34,0,,,,,6,,15,,,,,,,,,,,,,,,
21,33,4,35,4,2,07/13/2020,21,33,0,,,,,15,,,,,1,,,,,,,,,,,,
21,32,4,39,4,3,07/13/2020,21,32,0,,,,,42,,2,,,,,,,,,,,,,,,
21,31,4,4,5,3,07/13/2020,21,31,1,,,,,,,,,,,,,,,,,,,,,,
21,30,4,6,4,1,07/13/2020,21,30,0,,,,,17,,2,,,,,,,,,,,,,,,
21,29,4,68,2,1,07/13/2020,21,29,0,,,,,8,,,,,,,,,,,,,,,,,
21,28,4,8,2,3,07/13/2020,21,28,0,,,,,7,,,,,,,,,,,,,,,,,
21,27,4,18,2,2,07/13/2020,21,27,0,,,,,,,,,,,,,,,,,,,,,,
21,26,4,30,5,5,07/13/2020,21,26,0,,,,,3,,,,,,,,,,,,,,,,,
21,25,3,35,3,1,07/13/2020,21,25,1,,,,,,,,,,,,,,,,,,,,,,
21,24,3,35,5,4,07/13/2020,21,24,0,,,,,5,,,,,,,,,,,,,,,,,
21,23,3,18,4,1,07/13/2020,21,23,0,,,,,2,,,,,1,,,,,,,,,,,,
21,22,3,6,5,1,07/13/2020,21,22,0,,,,,1,,,,,,,,,,,,,,,,,
21,21,3,30,3,4,07/13/2020,21,21,0,,1,1 egg,,12,,2,,,,,,,,,,,,,,,
21,20,3,77,4,1,07/13/2020,21,20,0,,,,,16,,2,,,,,,,,,,,,,,,
21,19,3,47,5,5,07/13/2020,21,19,0,,,,,10,,2,,,,,,,,,,,,,,,
21,18,3,13,5,3,07/13/2020,21,18,1,,,,,,,,,,,,,,,,,,,,,,
21,17,3,42,2,3,07/13/2020,21,17,0,,1,1 caterpillar,,10,,,,,,,,,,,,,,,,,
21,16,3,14,2,4,07/13/2020,21,16,1,,,,,,,,,,,,,,,,,,,,,,
21,15,3,51,4,5,07/13/2020,21,15,0,,,,,8,,22,,,,,,,,,,,,,,,
21,14,3,47,3,1,07/13/2020,21,14,0,,,,,,,,,,,,,,,,,,,,,,
21,13,3,2,4,4,07/13/2020,21,13,1,,,,,,,,,,,,,,,,,,,,,,
21,12,3,3,1,2,07/13/2020,21,12,1,,,,,,,,,,,,,,,,,,,,,,
21,11,3,72,5,2,07/13/2020,21,11,0,,,,,8,,,,,,,,,,,,,,,,,
21,10,3,46,1,4,07/13/2020,21,10,0,,,,,5,,,,,,,,,,,,,,,,,
21,9,3,67,2,3,07/13/2020,21,9,0,,,,,9,,,,,,,,,,,,,,,,,
21,8,3,16,1,5,07/13/2020,21,8,1,,,,,,,,,,,,,,,,,,,,,,
21,7,3,8,2,4,07/13/2020,21,7,0,,,,,7,,,,,,,,,,,,,,,,,
21,6,3,29,5,1,07/13/2020,21,6,0,,,,,4,,,,,,,,,,,,,,,,,
21,5,3,16,3,1,07/13/2020,21,5,1,,,,,,,,,,,,,,,,,,,,,,
21,4,3,2,1,4,07/13/2020,21,4,0,,,,,1,,,,,,,,,,,,,,,,,
21,3,3,31,1,4,07/13/2020,21,3,0,,,,,17,,8,,,,,,,,,,,,,,,
21,2,3,8,3,1,07/13/2020,21,2,0,,,,,7,,,,,1,,,,,,,,,,,,
21,1,3,30,2,2,07/13/2020,21,1,0,,,,,1,,,,,,,,,,,,,,,,,
20,46,4,35,3,4,07/13/2020,20,46,0,,,,,,,2,,,,,,,,,,,,,,,
20,45,4,36,3,2,07/13/2020,20,45,1,,,,,,,,,,,,,,,,,,,,,,
20,44,4,2,3,5,07/13/2020,20,44,0,,,,,5,,,,,,,,,,,,,,,,,
20,43,4,18,5,5,07/13/2020,20,43,1,,,,,,,,,,,,,,,,,,,,,,
20,42,4,27,4,4,07/13/2020,20,42,0,,,,,2,,,,,,,,,,,,,,,,,
20,41,4,30,5,1,07/13/2020,20,41,0,,,,,,,,,,,,,,,,,,,,,,
20,40,4,3,5,3,07/13/2020,20,40,0,,,,,,,,,,,,,,,,,,,,,,
20,39,4,47,1,3,07/13/2020,20,39,0,,,,,3,,,,,,,,,,,,,,,,,
20,38,4,15,4,3,07/13/2020,20,38,0,,,,,6,,,,,,1,,,,,,,,,,,
20,37,4,40,2,3,07/13/2020,20,37,0,,1,1 egg,,5,,,,,,,,,,,,,,,,,
20,36,4,77,1,3,07/13/2020,20,36,0,,,,,9,,,,,,,,,,,,,,,,,
20,35,4,28,4,1,07/13/2020,20,35,0,,,,,,,,,,,,,,,,,,,,,,
20,34,4,2,5,2,07/13/2020,20,34,0,,,,,,,,,,,,,,,,,,,,,,
20,33,4,36,1,3,07/13/2020,20,33,0,,,,,11,,,,,,,,,,,,,,,,,
20,32,4,79,1,2,07/13/2020,20,32,0,,,,,5,,,,,,,,,,,,,,,,,
20,31,4,30,2,3,07/13/2020,20,31,0,,,,,20,5,,,,,,,,,,,,,,,,
20,30,4,18,4,2,07/13/2020,20,30,0,,,,,15,,,,,,,,,,,,,,,,,
20,29,4,36,2,3,07/13/2020,20,29,0,,,,,10,,14,,,,,,,,,,,,,,,
20,28,4,5,2,5,07/13/2020,20,28,0,,,,,,,,,,,,,,,,,,,,,,
20,27,4,19,3,3,07/14/2020,20,27,0,,,,,,,,,,,,,,,,,,,,,,
20,26,4,31,4,5,07/14/2020,20,26,0,,,,,8,,1,,,,,,,,,,,,,,,
20,25,3,51,4,4,07/14/2020,20,25,0,,,,1,13,,3,,,,,,,,,,,,,,,
20,24,3,8,3,4,07/14/2020,20,24,0,,,,,,,1,,,,,,,,,,,,,,,
20,23,3,18,4,4,07/14/2020,20,23,0,,,,,8,,1,,,,,,,,,,,,,,,
20,22,3,57,2,2,07/14/2020,20,22,0,,,,,,,,,,,,,,,,,,,,,,
20,21,3,18,1,3,07/14/2020,20,21,0,,,,,,,,,,,,,,,,,,,,,,
20,20,3,11,2,2,07/14/2020,20,20,0,,,,,4,,1,,,,,,,,,,,,,,,
20,19,3,5,3,1,07/14/2020,20,19,0,,,,,12,,,,,,,,,,,,,,,,,
20,18,3,67,3,3,07/14/2020,20,18,0,,,,,8,,,,,,,,,,,,,,,,,
20,17,3,6,1,5,07/14/2020,20,17,0,,2,2 eggs,,30,,,,,,,,,,,,,,,,,
20,16,3,72,1,4,07/14/2020,20,16,0,,,,,3,,,,,,,,,,,,,,,,,
20,15,3,1,3,3,07/14/2020,20,15,0,,,,,10,,,,,,,,,,,,,,,,,
20,14,3,30,4,1,07/14/2020,20,14,0,,,,,7,,650,,,,,,,,,,,,,,,
20,13,3,3,4,4,07/14/2020,20,13,0,,,,,12,,,,,,,,,,,,,,,,,
20,12,3,67,5,2,07/14/2020,20,12,0,,,,,6,,,,,,,,,,,,,,,,,
20,11,3,1,5,4,07/14/2020,20,11,0,,,,,,,,,,,,,,,,,,,,,,
20,10,3,21,5,2,07/14/2020,20,10,0,,,,,12,,,,,,,,,,,,,,,,,
20,9,3,36,5,4,07/14/2020,20,9,0,,,,,16,,,,,,,,,,,,,,,,,
