Row,Column,Block,Population,Family,Replicate,Dead,Filter_paper_and_tube_weight_mg,Date_paper_and_tube_measured,Date_latex_collected,Surveyor,Latex_not_collected,Latex_and_filter_paper_and_tube_weight_mg,Latex_weight_mg
1,1,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,2,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,3,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,4,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,5,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,6,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,7,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,8,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,9,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,10,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,11,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,12,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,13,1,40,3,5,0,1070.0876,8/10/2020,8/21/2020,Sophie,,1080.99,10.9024
1,14,1,41,2,5,0,1061.5501,8/10/2020,8/21/2020,Sophie,,1072.2,10.6499
1,15,1,14,2,1,0,1069.2046,8/10/2020,8/21/2020,Sophie,,1078.41,9.2054
1,16,1,40,4,5,1,,,NA,,NA,NA,NA
1,17,1,15,5,5,0,1060.2334,8/10/2020,8/21/2020,Sophie,,1064.92,4.6866
1,18,1,49,4,2,1,,,,,,NA,NA
1,19,1,7,2,2,0,1066.6106,8/10/2020,8/21/2020,Sophie,,1081.06,14.4494
1,20,1,29,3,5,1,,,,,,NA,NA
1,21,1,15,5,2,0,1065.1906,8/10/2020,8/21/2020,Sophie,,1075.91,10.7194
1,22,1,3,3,5,0,1073.5268,8/10/2020,8/21/2020,Sophie,,1078.06,4.5332
1,23,1,68,4,5,0,1080.81,8/10/2020,8/21/2020,Sophie,,1105.45,24.64
1,24,2,11,3,5,0,1069.62156,8/10/2020,8/21/2020,Sophie,,1076.11,6.48844
1,25,2,36,4,2,0,1075.877,8/10/2020,8/21/2020,Sophie,,1082.27,6.393
1,26,2,40,3,4,0,1070.9942,8/10/2020,8/21/2020,Sophie,1,NA,NA
1,27,2,67,3,5,0,1071.591,8/10/2020,8/21/2020,Sophie,,1125.52,53.929
1,28,2,13,3,4,1,,,,,,NA,NA
1,29,2,5,2,2,0,1062.2902,8/10/2020,8/21/2020,Sophie,,1073.6,11.3098
1,30,2,31,3,4,1,,,,,,NA,NA
1,31,2,31,1,1,0,1065.8573,8/10/2020,8/21/2020,Sophie,,1074.8,8.9427
1,32,2,62,5,2,0,1085.119,8/10/2020,8/21/2020,Sophie,,1087.53,2.411
1,33,2,13,1,5,0,1058.1597,8/10/2020,8/21/2020,Sophie,,1064.37,6.2103
1,34,2,13,2,3,0,1062.1068,8/10/2020,8/21/2020,Sophie,,1066.29,4.1832
1,35,2,19,3,2,0,1065.8674,8/10/2020,8/21/2020,Sophie,1,NA,NA
1,36,2,30,3,1,0,1073.3476,8/10/2020,8/21/2020,Sophie,,1080.17,6.8224
1,37,2,18,1,2,0,1071.7309,8/10/2020,8/21/2020,Sophie,,1082.29,10.5591
1,38,2,31,5,1,0,1067.307,8/10/2020,8/21/2020,Sophie,,1085.41,18.103
1,39,2,7,4,2,1,,,,,,NA,NA
1,40,2,8,1,4,0,1068.5794,8/10/2020,8/21/2020,Sophie,,1083.58,15.0006
1,41,2,23,1,5,0,1066.3559,8/10/2020,8/21/2020,Sophie,,1072.91,6.5541
1,42,2,4,1,3,0,1078.8983,8/10/2020,8/21/2020,Sophie,,1085.46,6.5617
1,43,2,36,3,3,0,1072.5171,8/10/2020,8/21/2020,Sophie,,1085.06,12.5429
1,44,2,30,4,5,0,1058.7916,8/10/2020,8/21/2020,Sophie,,1071.25,12.4584
1,45,2,62,2,1,0,1082.204,8/10/2020,8/21/2020,Sophie,,1087.65,5.446
1,46,2,6,2,4,0,1069.7652,8/10/2020,8/21/2020,Sophie,,1073.75,3.9848
2,1,1,79,4,5,0,1069.8034,8/10/2020,8/21/2020,Sophie,,1077.12,7.3166
2,2,1,6,2,5,0,1060.3429,8/10/2020,8/21/2020,Sophie,,1063.09,2.7471
2,3,1,68,1,4,0,1038.1584,8/10/2020,8/21/2020,Sophie,,1051.4,13.2416
2,4,1,39,2,1,0,1079.7981,8/10/2020,8/21/2020,Sophie,,1084.14,4.3419
2,5,1,49,3,5,0,1065.6209,8/10/2020,8/21/2020,Sophie,,1080.26,14.6391
2,6,1,14,5,2,0,1063.9417,8/10/2020,8/21/2020,Sophie,,1073.9,9.9583
2,7,1,56,3,4,0,1067.9236,8/10/2020,8/21/2020,Sophie,,1073.96,6.0364
2,8,1,27,2,5,0,1070.742,8/10/2020,8/21/2020,Sophie,1,NA,NA
2,9,1,21,3,4,0,1069.1748,8/10/2020,8/21/2020,Sophie,,1072.66,3.4852
2,10,1,14,2,2,0,1070.7679,8/10/2020,8/21/2020,Sophie,,1076.74,5.9721
2,11,1,72,2,1,0,1059.5693,8/10/2020,8/21/2020,Sophie,,1064.17,4.6007
2,12,1,2,1,1,0,1061.2223,8/10/2020,8/21/2020,Sophie,,1073.42,12.1977
2,13,1,36,2,4,0,1084.0647,8/10/2020,8/21/2020,Sophie,,1090.92,6.8553
2,14,1,35,2,1,0,1068.8405,8/10/2020,8/21/2020,Sophie,,1077.89,9.0495
2,15,1,15,3,4,0,1065.6387,8/10/2020,8/21/2020,Sophie,1,NA,NA
2,16,1,40,2,2,0,1071.2922,8/10/2020,8/21/2020,Sophie,,1077.86,6.5678
2,17,1,46,1,5,0,1085.6416,8/10/2020,8/21/2020,Sophie,,1090.36,4.7184
2,18,1,6,4,2,0,1065.5784,8/10/2020,8/21/2020,Sophie,,1076.4,10.8216
2,19,1,9,1,3,0,1071.4541,8/10/2020,8/21/2020,Sophie,,1075.61,4.1559
2,20,1,18,5,1,0,1081.0061,8/10/2020,8/21/2020,Sophie,,1087.73,6.7239
2,21,1,79,1,4,0,1068.0773,8/10/2020,8/21/2020,Sophie,,1081.21,13.1327
2,22,1,77,1,5,0,1076.0057,8/10/2020,8/21/2020,Sophie,,1085.54,9.5343
2,23,1,31,4,2,0,1062.8755,8/10/2020,8/21/2020,Sophie,,1070.8,7.9245
2,24,2,47,2,3,0,1064.1195,8/10/2020,8/21/2020,Sophie,,1065.95,1.8305
2,25,2,68,5,3,0,1069.8367,8/10/2020,8/21/2020,Sophie,,1077.55,7.7133
2,26,2,28,1,4,0,1057.5557,8/10/2020,8/21/2020,Sophie,,1060.68,3.1243
2,27,2,14,3,5,0,1061.901,8/10/2020,8/21/2020,Sophie,,1067.76,5.859
2,28,2,2,5,5,0,1075.2452,8/10/2020,8/21/2020,Sophie,,1079.24,3.9948
2,29,2,42,2,2,1,,,,,,NA,NA
2,30,2,41,1,1,0,1071.6853,8/10/2020,8/21/2020,Sophie,,1080.16,8.4747
2,31,2,68,3,3,0,1059.1949,8/10/2020,8/21/2020,Sophie,,1067.58,8.3851
2,32,2,14,4,2,1,,,,,,NA,NA
2,33,2,72,1,2,0,1062.9791,8/10/2020,8/21/2020,Sophie,,1070.07,7.0909
2,34,2,2,4,3,0,1074.0989,8/10/2020,8/21/2020,Sophie,,1088.53,14.4311
2,35,2,4,1,2,0,1068.1623,8/10/2020,8/21/2020,Sophie,,1073.52,5.3577
2,36,2,49,4,3,0,1063.1054,8/10/2020,8/21/2020,Sophie,,1068.79,5.6846
2,37,2,17,2,4,0,1064.1071,8/10/2020,8/21/2020,Sophie,,1069.1,4.9929
2,38,2,6,1,3,0,1083.067,8/10/2020,8/21/2020,Sophie,,1093.55,10.483
2,39,2,77,2,2,0,1072.1726,8/10/2020,8/21/2020,Sophie,,1093.47,21.2974
2,40,2,47,2,4,0,1078.236,8/10/2020,8/21/2020,Sophie,,1084.27,6.034
2,41,2,64,1,3,0,1071.2301,8/10/2020,8/21/2020,Sophie,,1081.66,10.4299
2,42,2,57,5,1,0,1069.9822,8/10/2020,8/21/2020,Sophie,,1073.78,3.7978
2,43,2,57,1,4,0,1071.7059,8/10/2020,8/21/2020,Sophie,,1074.32,2.6141
