"","Patch_ID","buildings_cells","vegetation_cells","roads_cells","buildings_labels","veg_labels","Urb_score","Pop_ID","City_dist","Transect"
"1","MW001",32,65,33,0.81,1.65,-1.17377,"AS001",25.60721179,"South"
"2","MW002",44,44,53,1.07,1.44,0.0619652,"AS002",24.98705092,"South"
"3","MW003",36,59,52.5,0.945,1.585,-0.5488855,"AS003",25.66213384,"South"
"4","MW004",26,62.6,49,0.84,1.624,-0.9282644,"AS005",26.285881226,"South"
"5","MW005",3.25,93.5,25.5,0.3675,1.935,-2.80108,"AS010",34.7626673225,"Rural"
"6","MW006",35.3333333333333,53,53.6666666666667,0.876666666666667,1.52333333333333,-0.431062,"AS014",40.3483104533333,"Rural"
"7","MW007",3,94.5,14.75,0.2425,1.945,-3.0900825,"AS017",48.865902755,"Rural"
"8","MW008",9,70,46,0.5,1.7,-1.67951,"AS021",45.01906409,"Rural"
"9","MW009",8,80,25,0.36,1.79,-2.37356,"AS022",35.70189422,"Rural"
"10","MW010",1,98,13,0.15,1.98,-3.30879,"AS023",36.15775186,"Rural"
"11","MW011",69,15,81,1.63,1.11,2.10156,"AS024",22.04480992,"South"
"12","MW012",51,45,65,1.18,1.45,0.4053,"AS025",25.26811188,"South"
"13","MW013",73,16,82,1.66,1.16,2.12016,"AS026",15.93698124,"South"
"14","MW014",68,29,87,1.62,1.29,1.74833,"AS027",11.35399112,"South"
"15","MW015",43,52,72,1.1,1.52,0.148848,"AS028",9.63737614,"South"
"16","MW016",45,50,62,1.13,1.49,0.113649,"AS029",13.92879297,"North"
"17","MW017",39,52,50,0.95,1.42,-0.230729,"AS030",41.19264328,"Rural"
"18","MW018",37,42,55,0.92,1.4,-0.0445896,"AS031",41.53200351,"Rural"
"19","MW019",0,99,9,0.1,1.99,-3.44897,"AS032",53.47318914,"Rural"
"20","MW020",0,97,12,0.1,1.97,-3.34998,"AS033",55.44354834,"Rural"
"21","MW021",1,99,3,0.06,1.99,-3.55627,"AS034",52.79539444,"Rural"
"22","MW022",0,100,12,0.06,2,-3.45963,"AS035",57.07085925,"Rural"
"23","MW023",2,96,13,0.16,1.96,-3.23351,"AS036",57.96584875,"Rural"
"24","MW024",1,92,20,0.32,1.91,-2.90157,"AS037",60.67999432,"Rural"
"25","MW025",93,7,99,1.9,1.07,3.09467,"AS038",8.859249046,"North"
"26","MW026",61,23,85,1.52,1.23,1.69829,"AS039",8.725651157,"North"
"27","MW027",52,37,75,1.23,1.37,0.822976,"AS040",9.38480336,"North"
"28","MW028",64,21,72,1.56,1.21,1.62646,"AS041",9.188664199,"North"
"29","MW029",69,24,74,1.48,1.17,1.68161,"AS042",9.947022004,"North"
"30","MW030",51,44,90,1.35,1.44,0.942832,"AS043",11.92943612,"North"
"31","MW031",63,18,88,1.48,1.18,1.87618,"AS044",12.54999419,"North"
"32","MW032",70,21,86,1.63,1.21,1.9821,"AS045",9.54746299,"South"
"33","MW033",3,95,11,0.15,1.95,-3.23043,"AS046",62.88065091,"Rural"
"34","MW034",0,99,9,0.05,1.99,-3.48661,"AS047",63.6238543,"Rural"
"35","MW035",0,100,5,0.08,2,-3.55182,"AS048",67.25004742,"Rural"
