Pop_ID,Population,Row,Column,Block,Family,Replicate,Comment,Flower_count_I1,Hood_L.I1F1,Hood_W.I1F1,Corolla_L.I1F1,Corolla_W.I1F1,Flower_L.I1F1,Flower_W.I1F1,Poll_rem.I1F1,Hood_L.I1F2,Hood_W.I1F2,Corolla_L.I1F2,Corolla_W.I1F2,Flower_L.I1F2,Flower_W.I1F2,Poll_rem.I1F2,Hood_L.I1F3,Hood_W.I1F3,Corolla_L.I1F3,Corolla_W.I1F3,Flower_L.I1F3,Flower_W.I1F3,Poll_rem.I1F3,Flower_count_I2,Hood_L.I2F1,Hood_W.I2F1,Corolla_L.I2F1,Corolla_W.I2F1,Flower_L.I2F1,Flower_W.I2F1,Poll_rem.I2F1,Hood_L.I2F2,Hood_W.I2F2,Corolla_L.I2F2,Corolla_W.I2F2,Flower_L.I2F2,Flower_W.I2F2,Poll_rem.I2F2,Hood_L.I2F3,Hood_W.I2F3,Corolla_L.I2F3,Corolla_W.I2F3,Flower_L.I2F3,Flower_W.I2F3,Poll_rem.I2F3,Flower_count_I3,Hood_L.I3F1,Hood_W.I3F1,Corolla_L.I3F1,Corolla_W.I3F1,Flower_L.I3F1,Flower_W.I3F1,Poll_rem.I3F1,Hood_L.I3F2,Hood_W.I3F2,Corolla_L.I3F2,Corolla_W.I3F2,Flower_L.I3F2,Flower_W.I3F2,Poll_rem.I3F2,Hood_L.I3F3,Hood_W.I3F3,Corolla_L.I3F3,Corolla_W.I3F3,Flower_L.I3F3,Flower_W.I3F3,Poll_rem.I3F3
MW001,1,7,37,2,1,1,NA,26,4.1,2.36,7.07,3.84,8.73,8.72,0,3.4,2.16,6.9,3.77,8.09,8.33,1,3.39,2.23,7.92,4.18,8.42,8.77,0,39,4.07,2.49,6.5,4.24,8.48,8.69,5,3.86,2.38,8.14,3.92,8.79,8.6,3,3.78,2.24,5.41,4.15,8.09,8.03,4,36,2.91,2.05,6.41,3.68,8.42,8.12,0,3.88,2.11,6.3,3.54,9.03,9.22,0,3.81,2.41,7.23,4.1,8.15,8.92,0
MW001,1,4,8,1,2,2,NA,32,4.52,2.15,7.92,4.32,8.6,8.57,0,4.2,2.2,8.86,4.45,10.07,10.09,3,3.72,2.06,8.49,3.98,9.89,9.8,2,30,5.59,2.18,8.07,3.99,9.52,9.65,4,3.76,1.91,9.48,4.13,9.81,9.74,3,3.63,2.06,8.39,3.75,9.51,9.52,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW001,1,4,43,2,3,5,NA,20,3.43,2.11,6.79,4.16,8.35,8.13,0,3.58,2.19,9.09,4.21,9.06,9.01,0,3.74,2.04,8.13,3.87,8.77,8.7,0,17,3.8,2.15,7.25,4.43,8.21,8.33,0,4.36,2.17,8.36,4.35,9.64,9.75,2,4.19,1.94,7.93,4,8.81,8.71,1,23,3.27,2.06,7.45,3.71,8.87,8.87,3,3.98,2.15,7.56,4.11,8.72,8.76,1,3.46,2.06,6.62,4.37,8.23,8.23,0
MW001,1,17,46,4,4,4,NA,9,2.76,1.84,6.55,4.17,7.68,8.1,2,2.46,2.11,6.82,4.21,8.75,10.03,2,3.02,1.8,7.1,4.75,9.26,9.36,0,14,3.05,2.06,8.04,4.12,8.73,8.87,2,3.36,1.96,8.54,4.54,8.83,9.07,2,3.57,1.85,7.19,4.44,8.22,8.38,2,25,3.32,2.13,9.24,4.7,8.71,9.11,3,3.31,2.08,9.02,4.5,8.65,8.95,1,3.38,1.73,8.11,4.15,8.59,8.28,2
MW001,1,15,16,3,5,5,NA,17,2.99,2.2,7.69,4.3,9.32,9.56,0,3.9,2.06,6.17,3.94,9.64,9.77,1,3.19,2.03,7.82,4.01,8.77,8.52,0,22,3.56,2.08,7.09,3.78,9.63,9.72,0,4.07,2.07,8.46,3.84,8.95,8.94,0,3.89,2,8.25,3.82,9.49,9.57,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW002,2,11,9,1,1,2,NA,15,4.68,2.26,7.48,3.83,8.75,8.8,1,4.41,2.43,7.52,3.65,9.36,8.93,1,4.09,2.46,8.06,3.78,8.95,8.82,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW002,2,14,31,4,1,3,inflor 2 flowers eaten but remnants of 3 flowers visible,62,4.62,2.23,7.46,3.67,7.64,7.93,2,4.29,2.28,7.03,3.7,7.53,8.04,1,4.3,2.2,6.53,4.1,7.59,7.87,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW002,2,3,14,1,2,5,NA,15,4.87,2.13,6.33,4.46,6.37,6.75,0,4.37,2.41,7.54,4.36,6.94,7.07,0,4.68,2.03,6.33,4,6.48,6.41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW002,2,16,28,4,4,2,NA,15,4.07,2.2,8.77,4.19,7.4,7.3,0,4.5,2.61,7.67,4.26,6.85,7.11,0,4.46,2.2,6.85,3.85,6.84,6.94,0,11,4.54,1.86,7.06,3.55,6.3,6.31,0,4.8,2.05,7.66,3.62,6.31,6.36,0,4.3,2.1,6.55,4.15,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW004,4,4,33,2,3,2,NA,18,7.1,2.23,8.71,3.87,8.46,8.4,1,6.98,2.46,9.29,4.52,8.11,8.29,4,6.55,2.36,8.34,4.37,8.65,8.49,0,18,5.17,1.8,6.82,3.67,6.62,6.57,0,5.67,1.87,7.21,3.67,6.73,6.71,1,6.45,2.12,7.95,4.14,7.27,7.72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
