"","Pop_ID","Population","Row","Column","Block","Family","Replicate","Date","Surveyor","Comment","Date_early","Surveyor_early","Comment_early","Total_Height_early","Scar_length_cm","scar_div_earlyheight","X","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score"
"1","MW001",1,17,46,4,4,4,"6/29/2021","Sophie",NA,"6/29/2021","Sophie",NA,123.7,9.08,0.0734033953112369,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"2","MW001",1,10,5,1,5,2,"7/1/2021","Hayden",NA,"7/1/2021","Hayden",NA,36.1,1.953,0.0540997229916897,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"3","MW001",1,6,35,2,3,4,"7/1/2021","Sophie",NA,"7/1/2021","Sophie",NA,50,5.65,0.113,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"4","MW001",1,11,18,1,2,4,"6/30/2021","Sophie",NA,"6/30/2021","Sophie",NA,5.6,1.36,0.242857142857143,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"5","MW001",1,3,45,2,1,5,"7/3/2021","Samer",NA,"7/3/2021","Samer",NA,32.3,5.111,0.158235294117647,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"6","MW001",1,20,11,3,5,4,"6/28/2021","Hayden",NA,"6/28/2021","Hayden",NA,36.5,5.738,0.157205479452055,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"7","MW001",1,13,27,4,2,3,"6/30/2021","Hayden",NA,"6/30/2021","Hayden",NA,3.2,0,0,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"8","MW001",1,13,43,4,3,1,"6/30/2021","Hayden",NA,"6/30/2021","Hayden",NA,0,0,NA,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"9","MW001",1,20,15,3,3,3,"6/28/2021","Hayden",NA,"6/28/2021","Hayden",NA,44.6,10.358,0.232242152466368,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"10","MW001",1,19,31,4,4,2,"6/29/2021","Sophie",NA,"6/29/2021","Sophie",NA,0,0,NA,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"11","MW001",1,15,16,3,5,5,"6/30/2021","Hayden",NA,"6/30/2021","Hayden",NA,246.1,11.727,0.0476513612352702,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"12","MW001",1,9,46,2,1,4,"7/1/2021","Hayden",NA,"7/1/2021","Hayden",NA,17.2,4.948,0.287674418604651,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"13","MW001",1,13,31,4,2,5,"6/30/2021","Hayden",NA,"6/30/2021","Hayden",NA,24.5,1.465,0.0597959183673469,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"14","MW001",1,4,7,1,2,1,"7/3/2021","Sophie",NA,"7/3/2021","Sophie",NA,60.1,4.11,0.0683860232945092,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"15","MW001",1,12,2,3,3,2,"6/30/2021","Kavya",NA,"6/30/2021","Kavya",NA,117.8,7.13,0.0605263157894737,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"16","MW001",1,4,11,1,4,1,"7/3/2021","Sophie",NA,"7/3/2021","Sophie",NA,43.5,6.7,0.154022988505747,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"17","MW001",1,6,38,2,4,5,"7/1/2021","Sophie",NA,"7/1/2021","Sophie",NA,34.7,2.06,0.0593659942363112,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"18","MW001",1,6,26,2,1,3,"7/1/2021","Sophie",NA,"7/1/2021","Sophie",NA,95.1,16.12,0.16950578338591,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
