"","Row","Column","Block","Population","Family","Replicate","Comment.early","Date.early","Alive.early","Herbivory.early","Surveyor.early","Alive.late","Herbivory.late","Date.late","Surveyor.late","Comment.late"
"1",1,13,"1","40","3","5","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,0,54","8/27/2021","Sophie",NA
"2",1,14,"1","41","2","5","","6/25/2021","1","2,1,3,0,0","Sophie","","16,12,0,0,6","8/27/2021","Sophie",NA
"3",1,15,"1","14","2","1","","6/25/2021","1","0,0,0,0,0","Sophie","0","","8/27/2021","Sophie",NA
"4",1,16,"1","40","4","5","","6/25/2021","0","NA","Sophie","0","","8/27/2021","Sophie",NA
"5",1,17,"1","15","5","5","","6/25/2021","1","0,0,0,0,02","Sophie","","0,0,0,0,04","8/27/2021","Sophie",NA
"6",1,18,"1","49","4","2","","6/25/2021","0","NA","Sophie","0","","8/27/2021","Sophie",NA
"7",1,19,"1","7","2","2","","6/25/2021","1","0,0,0,0,04","Sophie","","5,0,2,1,0","8/27/2021","Sophie",NA
"8",1,20,"1","29","3","5","","6/25/2021","0","NA","Sophie","0","","8/27/2021","Sophie",NA
"9",1,21,"1","15","5","2","","6/25/2021","1","0,0,0,1,5","Sophie","","2,0,0,0,14","8/27/2021","Sophie",NA
"10",1,22,"1","3","3","5","","6/25/2021","1","0,0,0,0,02","Sophie","","2,5,26,0,4","8/27/2021","Sophie",NA
"11",1,23,"1","68","4","5","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,0,18","8/27/2021","Sophie",NA
"12",1,24,"2","11","3","5","","6/25/2021","1","0,0,0,0,0","Sophie","","20,2,2,1,0","8/27/2021","Sophie",NA
"13",1,25,"2","36","4","2","","6/25/2021","1","0,0,0,0,0","Sophie","","0,5,16,28,0","8/27/2021","Sophie",NA
"14",1,26,"2","40","3","4","","6/25/2021","1","0,0,0,0,0","Sophie","","44,5,4,16,0","8/27/2021","Sophie",NA
"15",1,27,"2","67","3","5","","6/25/2021","1","0,0,0,0,0","Sophie","2","","8/27/2021","Sophie",NA
"16",1,28,"2","13","3","4","","6/25/2021","0","NA","Sophie","0","","8/27/2021","Sophie",NA
"17",1,29,"2","5","2","2","","6/25/2021","1","0,0,0,0,0","Sophie","","2,3,0,30,3","8/27/2021","Sophie",NA
"18",1,30,"2","31","3","4","","6/25/2021","0","NA","Sophie","0","","8/27/2021","Sophie",NA
"19",1,31,"2","31","1","1","","6/25/2021","1","28,7,12,0,4","Sophie","","2,2,0,2,0","8/27/2021","Sophie",NA
"20",1,32,"2","62","5","2","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,0,02","8/27/2021","Sophie",NA
"21",1,33,"2","13","1","5","","6/25/2021","1","0,0,0,0,0","Sophie","","1,0,0,6,0","8/27/2021","Sophie",NA
"22",1,34,"2","13","2","3","","6/25/2021","1","0,0,0,0,0","Sophie","","0,5,2,0,2","8/27/2021","Sophie",NA
"23",1,35,"2","19","3","2","","6/25/2021","1","0,0,0,0,0","Sophie","","0,8,1,3,0","8/27/2021","Sophie",NA
"24",1,36,"2","30","3","1","","6/25/2021","1","0,5,0,0,05","Sophie","","0,25,5,1,0","8/27/2021","Sophie",NA
"25",1,37,"2","18","1","2","","6/25/2021","1","0,16,5,0,4","Sophie","","0,1,6,3,40","8/27/2021","Sophie",NA
"26",1,38,"2","31","5","1","","6/25/2021","1","0,0,0,0,08","Sophie","","2,2,1,0,0","8/27/2021","Sophie",NA
