Row,Column,Block,Population,Family,Replicate,Date,Surveyor,Comment,Height_cm_ram1,Height_cm_ram2,Height_cm_ram3,Height_cm_ram4,Height_cm_ram5,Height_cm_ram6,Height_cm_ram7,Height_cm_ram8,Height_cm_ram9,Height_cm_ram10,Height_cm_ram11,Height_cm_ram12,Height_cm_ram13,Height_cm_ram14
1,1,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,2,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,3,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,4,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,5,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,6,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,7,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,8,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,9,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,10,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,11,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,12,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,13,1,40,3,5,8/24/2021,Hayden,,13.3,,,,,,,,,,,,,
1,14,1,41,2,5,8/24/2021,Hayden,,64.9,,,,,,,,,,,,,
1,15,1,14,2,1,8/24/2021,Hayden,,0,,,,,,,,,,,,,
1,16,1,40,4,5,8/24/2021,Hayden,,0,,,,,,,,,,,,,
1,17,1,15,5,5,8/24/2021,Hayden,,66.8,56.8,31.8,,,,,,,,,,,
1,18,1,49,4,2,8/24/2021,Hayden,,0,,,,,,,,,,,,,
1,19,1,7,2,2,8/24/2021,Hayden,,51.8,45.2,53.2,61.8,83.8,,,,,,,,,
1,20,1,29,3,5,8/24/2021,Hayden,,0,,,,,,,,,,,,,
1,21,1,15,5,2,8/24/2021,Hayden,,59.8,,,,,,,,,,,,,
1,22,1,3,3,5,8/24/2021,Hayden,,44.2,19.8,,,,,,,,,,,,
1,23,1,68,4,5,8/24/2021,Hayden,,58.2,56.4,57.2,,,,,,,,,,,
1,24,2,11,3,5,8/24/2021,Hayden,,69.6,21.6,54.1,,,,,,,,,,,
1,25,2,36,4,2,8/24/2021,Hayden,,39.6,33.1,,,,,,,,,,,,
1,26,2,40,3,4,8/24/2021,Hayden,,22.6,,,,,,,,,,,,,
1,27,2,67,3,5,8/24/2021,Hayden,,8,10.2,7.2,,,,,,,,,,,
1,28,2,13,3,4,8/24/2021,Hayden,,0,,,,,,,,,,,,,
1,29,2,5,2,2,8/24/2021,Hayden,,71.9,51.8,52.8,,,,,,,,,,,
1,30,2,31,3,4,8/24/2021,Hayden,,0,,,,,,,,,,,,,
1,31,2,31,1,1,8/24/2021,Hayden,,72,40.8,49.2,54,,,,,,,,,,
1,32,2,62,5,2,8/24/2021,Hayden,,8,75.1,65.1,82.1,,,,,,,,,,
1,33,2,13,1,5,8/24/2021,Hayden,,29.6,,,,,,,,,,,,,
1,34,2,13,2,3,8/24/2021,Hayden,,38.8,17.2,17.2,,,,,,,,,,,
1,35,2,19,3,2,8/24/2021,Hayden,,34.8,36.8,31.1,20.8,37.8,,,,,,,,,
1,36,2,30,3,1,8/24/2021,Hayden,,7.8,26,43.1,,,,,,,,,,,
1,37,2,18,1,2,8/24/2021,Hayden,,64.2,21.2,28.1,24.2,,,,,,,,,,
1,38,2,31,5,1,8/24/2021,Hayden,,52.2,19.2,,,,,,,,,,,,
1,39,2,7,4,2,8/24/2021,Hayden,,63.1,,,,,,,,,,,,,
1,40,2,8,1,4,8/24/2021,Hayden,,75.9,78.1,62.5,71.5,72.8,92.2,85.1,,,,,,,
1,41,2,23,1,5,8/24/2021,Hayden,,52.5,54.2,51.8,,,,,,,,,,,
1,42,2,4,1,3,8/24/2021,Hayden,,58.8,47.2,37.3,,,,,,,,,,,
1,43,2,36,3,3,8/24/2021,Hayden,,62.8,61.8,72.8,75.8,,,,,,,,,,
1,44,2,30,4,5,8/24/2021,Hayden,,15.4,7.6,28,,,,,,,,,,,
1,45,2,62,2,1,8/24/2021,Hayden,,35.2,44.3,46.2,,,,,,,,,,,
1,46,2,6,2,4,8/24/2021,Hayden,,2,25.2,23.2,9.2,,,,,,,,,,
