"","Row","Column","Block","Population","Family","Replicate","Comment","Date_oldest_inflor_flower","Date_youngest_inflor_flower","Date_first_follicle_2in","Pods","Peduncles","Flower_count_I1","Hood_L.I1F1","Hood_W.I1F1","Corolla_L.I1F1","Corolla_W.I1F1","Flower_L.I1F1","Flower_W.I1F1","Poll_rem.I1F1","Hood_L.I1F2","Hood_W.I1F2","Corolla_L.I1F2","Corolla_W.I1F2","Flower_L.I1F2","Flower_W.I1F2","Poll_rem.I1F2","Hood_L.I1F3","Hood_W.I1F3","Corolla_L.I1F3","Corolla_W.I1F3","Flower_L.I1F3","Flower_W.I1F3","Poll_rem.I1F3","Flower_count_I2","Hood_L.I2F1","Hood_W.I2F1","Corolla_L.I2F1","Corolla_W.I2F1","Flower_L.I2F1","Flower_W.I2F1","Poll_rem.I2F1","Hood_L.I2F2","Hood_W.I2F2","Corolla_L.I2F2","Corolla_W.I2F2","Flower_L.I2F2","Flower_W.I2F2","Poll_rem.I2F2","Hood_L.I2F3","Hood_W.I2F3","Corolla_L.I2F3","Corolla_W.I2F3","Flower_L.I2F3","Flower_W.I2F3","Poll_rem.I2F3","Flower_count_I3","Hood_L.I3F1","Hood_W.I3F1","Corolla_L.I3F1","Corolla_W.I3F1","Flower_L.I3F1","Flower_W.I3F1","Poll_rem.I3F1","Hood_L.I3F2","Hood_W.I3F2","Corolla_L.I3F2","Corolla_W.I3F2","Flower_L.I3F2","Flower_W.I3F2","Poll_rem.I3F2","Hood_L.I3F3","Hood_W.I3F3","Corolla_L.I3F3","Corolla_W.I3F3","Flower_L.I3F3","Flower_W.I3F3","Poll_rem.I3F3","Flowered2022","Hood.I1F1","Hood.I1F2","Hood.I1F3","Hood.I2F1","Hood.I2F2","Hood.I2F3","Hood.I3F1","Hood.I3F2","Hood.I3F3","Hood.I1","Hood.I2","Hood.I3","Hood_mean","Corolla.I1F1","Corolla.I1F2","Corolla.I1F3","Corolla.I2F1","Corolla.I2F2","Corolla.I2F3","Corolla.I3F1","Corolla.I3F2","Corolla.I3F3","Corolla.I1","Corolla.I2","Corolla.I3","Corolla_mean","Flower.I1F1","Flower.I1F2","Flower.I1F3","Flower.I2F1","Flower.I2F2","Flower.I2F3","Flower.I3F1","Flower.I3F2","Flower.I3F3","Flower.I1","Flower.I2","Flower.I3","Flower_mean","Overall_mean","mean_flower_count","total_flower_count"
"1",1,17,"1","15","5","5",NA,"6/29/2022","7/13/2022",NA,0,5,11,3.55,2.3,6.78,4.02,7.16,7.21,0,3.69,2.12,7.12,4.11,7.65,7.84,1,3.41,2.15,6.97,3.68,8.17,8.61,0,13,2.94,1.67,7.17,3.39,7.25,7.05,0,3.16,1.94,7.36,3.88,8.06,7.89,1,2.85,1.98,8.16,4.01,8.17,8.32,1,3,2.44,1.75,7.41,3.02,6.75,6.63,0,2.57,1.84,7.85,2.95,7.01,6.85,0,3.05,1.77,7.68,3.11,6.84,6.19,0,"1",8.165,7.8228,7.3315,4.9098,6.1304,5.643,4.27,4.7288,5.3985,7.7731,5.56106666666667,4.7991,6.04442222222222,27.2556,29.2632,25.6496,24.3063,28.5568,32.7216,22.3782,23.1575,23.8848,27.3894666666667,28.5282333333333,23.1401666666667,26.3526222222222,51.6236,59.976,70.3437,51.1125,63.5934,67.9744,44.7525,48.0185,42.3396,60.6477666666667,60.8934333333333,45.0368666666667,55.5260222222222,29.3076888888889,9,27
"2",1,21,"1","15","5","2",NA,"7/01/2022","7/18/2022","7/25/2022",10,8,66,3.83,2.32,8.33,4.24,10.17,10.14,3,3.56,2.14,8.13,4.04,9.62,9.51,0,3.37,2.48,7.96,3.68,9.62,9.87,1,41,3.56,1.98,7.75,4.08,9.47,9.41,0,3.85,2.03,8.65,3.97,9.89,10.06,1,3.15,1.97,7.36,3.55,9.65,8.84,0,42,2.92,1.81,8.02,3.42,7.83,7.86,0,2.77,1.85,7.63,3.44,6.98,7.42,0,3.18,1.95,7.51,3.69,7.12,7.35,1,"1",8.8856,7.6184,8.3576,7.0488,7.8155,6.2055,5.2852,5.1245,6.201,8.2872,7.02326666666667,5.5369,6.94912222222222,35.3192,32.8452,29.2928,31.62,34.3405,26.128,27.4284,26.2472,27.7119,32.4857333333333,30.6961666666667,27.1291666666667,30.1036888888889,103.1238,91.4862,94.9494,89.1127,99.4934,85.306,61.5438,51.7916,52.332,96.5198,91.3040333333333,55.2224666666667,81.0154333333333,39.3560814814815,49.6666666666667,149
"3",1,24,"2","11","3","5",NA,"7/06/2022","7/25/2022","7/27/2022",15,15,31,2.98,2.07,7.29,4.16,10.31,10.3,0,3.04,2.15,7.64,4.17,9.87,9.65,0,2.89,2.13,7.15,4.03,9.68,9.07,1,42,3.25,2.27,7.26,4.06,8.55,8.98,1,3.77,2.41,7.36,3.97,8.62,8.77,0,3.55,2.61,8.45,4.63,9.54,9.14,0,36,2.96,2.13,7.08,4.8,9.85,9.52,0,3.05,2.14,8.47,4.51,10.04,9.78,1,3.16,2.07,7.58,3.97,9.47,9.51,0,"1",6.1686,6.536,6.1557,7.3775,9.0857,9.2655,6.3048,6.527,6.5412,6.28676666666667,8.57623333333333,6.45766666666667,7.10688888888889,30.3264,31.8588,28.8145,29.4756,29.2192,39.1235,33.984,38.1997,30.0926,30.3332333333333,32.6061,34.0921,32.3438111111111,106.193,95.2455,87.7976,76.779,75.5974,87.1956,93.772,98.1912,90.0597,96.4120333333333,79.8573333333333,94.0076333333333,90.0923333333333,43.1810111111111,36.3333333333333,109
"4",1,30,"2","31","3","4",NA,"7/08/2022","7/13/2022",NA,0,3,12,3.57,2.06,6.23,4.2,9.64,8.84,0,3.65,2.1,6.58,3.98,9.77,9.63,1,3.55,1.93,6.74,4.16,9.88,9.17,0,14,3.62,2.07,7.29,4.35,8.61,8.2,0,3.51,2.13,7.84,4.16,8.98,8.77,0,3.69,2.17,7.46,3.98,9.13,8.85,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",7.3542,7.665,6.8515,7.4934,7.4763,8.0073,NA,NA,NA,7.29023333333333,7.659,NA,7.47461666666667,26.166,26.1884,28.0384,31.7115,32.6144,29.6908,NA,NA,NA,26.7976,31.3389,NA,29.06825,85.2176,94.0851,90.5996,70.602,78.7546,80.8005,NA,NA,NA,89.9674333333333,76.7190333333333,NA,83.3432333333333,39.9620333333333,15,45
"5",1,31,"2","31","1","1",NA,"7/04/2022","7/11/2022","7/29/2022",5,3,49,3.78,2.62,8.36,4.35,9.79,9.48,0,3.84,2.54,8.69,4.17,9.84,9.25,0,3.65,2.47,8.74,4.16,9.68,9.78,1,33,3.2,2.18,7.54,3.42,9.39,9.36,0,3.19,2.26,7.69,3.16,9.87,9.34,1,3.34,2.54,7.94,3.24,9.63,9.27,0,9,3.41,2.46,7.82,4.7,8.92,9.16,0,3.57,2.23,7.96,4.18,9.14,8.99,0,3.68,2.37,8.14,4.05,9.56,9.35,1,"1",9.9036,9.7536,9.0155,6.976,7.2094,8.4836,8.3886,7.9611,8.7216,9.55756666666667,7.55633333333333,8.3571,8.49033333333333,36.366,36.2373,36.3584,25.7868,24.3004,25.7256,36.754,33.2728,32.967,36.3205666666667,25.2709333333333,34.3312666666667,31.9742555555556,92.8092,91.02,94.6704,87.8904,92.1858,89.2701,81.7072,82.1686,89.386,92.8332,89.7821,84.4206,89.0119666666667,43.1588518518518,30.3333333333333,91
"6",1,37,"2","18","1","2",NA,"7/08/2022","7/18/2022","08/02/2022",7,5,31,3.52,2.45,7.99,4.96,8.54,8.26,1,3.42,2.36,6.97,3.91,8.35,8.17,0,3.66,2.46,7.16,4.36,8.69,8.36,0,39,3.5,2.49,8.72,4.77,8.14,8.01,0,3.56,2.51,8.57,4.58,8.61,8.35,1,3.44,2.67,8.66,4.17,8.56,8.62,0,47,2.83,2.21,8.26,4.04,7.93,7.82,0,2.93,2.31,8.62,3.96,7.99,8.14,1,3.04,2.17,8.26,4.06,8.11,8.04,0,"1",8.624,8.0712,9.0036,8.715,8.9356,9.1848,6.2543,6.7683,6.5968,8.56626666666667,8.94513333333333,6.5398,8.01706666666667,39.6304,27.2527,31.2176,41.5944,39.2506,36.1122,33.3704,34.1352,33.5356,32.7002333333333,38.9857333333333,33.6804,35.1221222222222,70.5404,68.2195,72.6484,65.2014,71.8935,73.7872,62.0126,65.0386,65.2044,70.4694333333333,70.2940333333333,64.0852,68.2828888888889,37.1406925925926,39,117
"7",1,40,"2","8","1","4",NA,"7/04/2022","7/08/2022","7/27/2022",4,2,63,3.22,2.22,8.77,3.85,10.48,10.29,0,3.14,2.17,8.98,3.65,9.81,9.66,0,3.35,2.47,8.64,3.61,9.84,9.66,2,35,3.66,2.2,8.15,4.01,9.38,9.18,0,3.51,2.17,8.51,3.95,9.68,9.47,1,3.63,2.14,7.96,3.84,9.36,9.58,0,16,3.38,2.17,8.07,4.08,9.16,9.48,0,3.66,2.45,8.12,3.87,9.05,8.75,1,3.28,2.06,7.84,3.81,9.28,9.03,0,"1",7.1484,6.8138,8.2745,8.052,7.6167,7.7682,7.3346,8.967,6.7568,7.41223333333333,7.8123,7.68613333333333,7.63688888888889,33.7645,32.777,31.1904,32.6815,33.6145,30.5664,32.9256,31.4244,29.8704,32.5773,32.2874666666667,31.4068,32.0905222222222,107.8392,94.7646,95.0544,86.1084,91.6696,89.6688,86.8368,79.1875,83.7984,99.2194,89.1489333333333,83.2742333333333,90.5475222222222,43.4249777777778,38,114
"8",1,42,"2","4","1","3",NA,"7/11/2022","7/18/2022","08/02/2022",8,3,25,2.84,1.82,7.38,3.74,7.32,7.14,0,2.99,1.74,7.54,3.68,7.58,7.24,0,2.94,1.79,7.66,3.81,7.95,7.36,1,27,3.63,2.18,6.29,3.97,8.81,8.77,2,3.68,2.06,6.52,4.03,8.93,8.77,0,3.88,2.38,6.47,2.11,8.57,8.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5.1688,5.2026,5.2626,7.9134,7.5808,9.2344,NA,NA,NA,5.21133333333333,8.24286666666667,NA,6.7271,27.6012,27.7472,29.1846,24.9713,26.2756,13.6517,NA,NA,NA,28.1776666666667,21.6328666666667,NA,24.9052666666667,52.2648,54.8792,58.512,77.2637,78.3161,73.702,NA,NA,NA,55.2186666666667,76.4272666666667,NA,65.8229666666667,32.4851111111111,26,52
"9",1,43,"2","36","3","3",NA,"6/29/2022","7/18/2022","7/25/2022",31,11,49,3.07,2.21,8.09,3.64,8.91,9.21,0,3.18,2.36,5.95,3.58,9.02,8.96,1,2.36,1.95,7.55,3.14,7.26,7.11,0,58,3.66,2.38,5.1,3.25,7.06,6.93,1,4.01,2.49,7.12,3.78,8.96,8.66,0,3.35,2.01,7.58,3.89,7.99,7.69,1,55,2.93,1.72,7.98,3.63,8.12,8.05,0,3.14,1.96,8.25,3.74,8.36,8.12,2,2.66,1.87,8.36,3.55,7.56,8.02,1,"1",6.7847,7.5048,4.602,8.7108,9.9849,6.7335,5.0396,6.1544,4.9742,6.29716666666667,8.4764,5.3894,6.72098888888889,29.4476,21.301,23.707,16.575,26.9136,29.4862,28.9674,30.855,29.678,24.8185333333333,24.3249333333333,29.8334666666667,26.3256444444444,82.0611,80.8192,51.6186,48.9258,77.5936,61.4431,65.366,67.8832,60.6312,71.4996333333333,62.6541666666667,64.6268,66.2602,33.1022777777778,54,162
"10",2,1,"1","79","4","5","only 1 inflor and only 1 flower left ","7/18/2022","7/18/2022",NA,0,1,3,2.51,1.81,6.54,2.98,6.85,6.71,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",4.5431,NA,NA,NA,NA,NA,NA,NA,NA,4.5431,NA,NA,4.5431,19.4892,NA,NA,NA,NA,NA,NA,NA,NA,19.4892,NA,NA,19.4892,45.9635,NA,NA,NA,NA,NA,NA,NA,NA,45.9635,NA,NA,45.9635,23.3319333333333,3,3
