"","Row","Column","Block","Population","Family","Replicate","Comment","Date_oldest_inflor_flower","Date_youngest_inflor_flower","Date_first_follicle_2in","Pods","Peduncles","Flowered2022"
"13",1,13,"1","40","3","5",NA,NA,NA,NA,NA,NA,"0"
"14",1,14,"1","41","2","5",NA,NA,NA,NA,NA,NA,"0"
"15",1,15,"1","14","2","1",NA,NA,NA,NA,NA,NA,"0"
"16",1,16,"1","40","4","5",NA,NA,NA,NA,NA,NA,"0"
"17",1,17,"1","15","5","5",NA,"6/29/2022","7/13/2022",NA,0,5,"1"
"18",1,18,"1","49","4","2",NA,NA,NA,NA,NA,NA,"0"
"19",1,19,"1","7","2","2",NA,NA,NA,NA,NA,NA,"0"
"20",1,20,"1","29","3","5",NA,NA,NA,NA,NA,NA,"0"
"21",1,21,"1","15","5","2",NA,"7/1/2022","7/18/2022","7/25/2022",10,8,"1"
"22",1,22,"1","3","3","5",NA,NA,NA,NA,NA,NA,"0"
"23",1,23,"1","68","4","5",NA,NA,NA,NA,NA,NA,"0"
"24",1,24,"2","11","3","5",NA,"7/6/2022","7/25/2022","7/27/2022",15,15,"1"
"25",1,25,"2","36","4","2",NA,NA,NA,NA,NA,NA,"0"
"26",1,26,"2","40","3","4",NA,NA,NA,NA,NA,NA,"0"
"27",1,27,"2","67","3","5",NA,NA,NA,NA,NA,NA,"0"
"28",1,28,"2","13","3","4",NA,NA,NA,NA,NA,NA,"0"
"29",1,29,"2","5","2","2",NA,NA,NA,NA,NA,NA,"0"
"30",1,30,"2","31","3","4",NA,"7/8/2022","7/13/2022",NA,0,3,"1"
"31",1,31,"2","31","1","1",NA,"7/4/2022","7/11/2022","7/29/2022",5,3,"1"
"32",1,32,"2","62","5","2",NA,NA,NA,NA,NA,NA,"0"
"33",1,33,"2","13","1","5",NA,NA,NA,NA,NA,NA,"0"
"34",1,34,"2","13","2","3",NA,NA,NA,NA,NA,NA,"0"
"35",1,35,"2","19","3","2",NA,NA,NA,NA,NA,NA,"0"
"36",1,36,"2","30","3","1",NA,NA,NA,NA,NA,NA,"0"
"37",1,37,"2","18","1","2",NA,"7/8/2022","7/18/2022","8/2/2022",7,5,"1"
"38",1,38,"2","31","5","1",NA,NA,NA,NA,NA,NA,"0"
"39",1,39,"2","7","4","2",NA,NA,NA,NA,NA,NA,"0"
"40",1,40,"2","8","1","4",NA,"7/4/2022","7/8/2022","7/27/2022",4,2,"1"
"41",1,41,"2","23","1","5",NA,NA,NA,NA,NA,NA,"0"
"42",1,42,"2","4","1","3",NA,"7/11/2022","7/18/2022","8/2/2022",8,3,"1"
"43",1,43,"2","36","3","3",NA,"6/29/2022","7/18/2022","7/25/2022",31,11,"1"
"44",1,44,"2","30","4","5",NA,NA,NA,NA,NA,NA,"0"
"45",1,45,"2","62","2","1",NA,NA,NA,NA,NA,NA,"0"
"46",1,46,"2","6","2","4",NA,NA,NA,NA,NA,NA,"0"
"47",2,1,"1","79","4","5","only 1 inflor and only 1 flower left ","7/18/2022","7/18/2022",NA,0,1,"1"
"48",2,2,"1","6","2","5",NA,"6/27/2022","7/13/2022","7/20/2022",17,9,"1"
"49",2,3,"1","68","1","4",NA,"7/4/2022","7/6/2022","8/2/2022",2,3,"1"
"50",2,4,"1","39","2","1",NA,"7/1/2022","7/20/2022","7/25/2022",13,8,"1"
"51",2,5,"1","49","3","5",NA,"7/4/2022","7/11/2022","8/4/2022",3,3,"1"
"52",2,6,"1","14","5","2",NA,NA,NA,NA,NA,NA,"0"
"53",2,7,"1","56","3","4",NA,NA,NA,NA,NA,NA,"0"
"54",2,8,"1","27","2","5",NA,NA,NA,NA,NA,NA,"0"
"55",2,9,"1","21","3","4",NA,"7/6/2022","7/8/2022","8/4/2022",1,3,"1"
"56",2,10,"1","14","2","2",NA,NA,NA,NA,NA,NA,"0"
"57",2,11,"1","72","2","1",NA,NA,NA,NA,NA,NA,"0"
"58",2,12,"1","2","1","1",NA,NA,NA,NA,NA,NA,"0"
"59",2,13,"1","36","2","4","only 1 inflor","7/11/2022","7/11/2022","8/8/2022",4,1,"1"
"60",2,14,"1","35","2","1",NA,"7/11/2022","7/25/2022","8/4/2022",14,6,"1"
"61",2,15,"1","15","3","4",NA,NA,NA,NA,NA,NA,"0"
"62",2,16,"1","40","2","2","only 2 inflor ","7/6/2022","7/8/2022",NA,0,2,"1"
"63",2,17,"1","46","1","5",NA,NA,NA,NA,NA,NA,"0"
"64",2,18,"1","6","4","2",NA,"7/6/2022","7/25/2022","7/27/2022",10,7,"1"
"65",2,19,"1","9","1","3",NA,NA,NA,NA,NA,NA,"0"
"66",2,20,"1","18","5","1",NA,NA,NA,NA,NA,NA,"0"
"67",2,21,"1","79","1","4",NA,NA,NA,NA,NA,NA,"0"
"68",2,22,"1","77","1","5",NA,"6/29/2022","7/6/2022","7/22/2022",15,5,"1"
"69",2,23,"1","31","4","2","only 2 inflor","6/29/2022","7/6/2022","7/27/2022",4,4,"1"
"70",2,24,"2","47","2","3",NA,NA,NA,NA,NA,NA,"0"
"71",2,25,"2","68","5","3",NA,"6/29/2022","7/13/2022","7/25/2022",25,11,"1"
"72",2,26,"2","28","1","4",NA,"7/13/2022","7/18/2022","8/8/2022",8,4,"1"
"73",2,27,"2","14","3","5",NA,NA,NA,NA,NA,NA,"0"
"74",2,28,"2","2","5","5",NA,NA,NA,NA,NA,NA,"0"
"75",2,29,"2","42","2","2",NA,NA,NA,NA,NA,NA,"0"
"76",2,30,"2","41","1","1","only 2 inflor ","7/22/2022","7/25/2022","8/19/2022",2,2,"1"
"77",2,31,"2","68","3","3",NA,NA,NA,NA,NA,NA,"0"
"78",2,32,"2","14","4","2",NA,NA,NA,NA,NA,NA,"0"
"79",2,33,"2","72","1","2",NA,NA,NA,NA,NA,NA,"0"
"80",2,34,"2","2","4","3",NA,NA,NA,NA,NA,NA,"0"
"81",2,35,"2","4","1","2",NA,NA,NA,NA,NA,NA,"0"
"82",2,36,"2","49","4","3",NA,NA,NA,NA,NA,NA,"0"
"83",2,37,"2","17","2","4",NA,NA,NA,NA,NA,NA,"0"
"84",2,38,"2","6","1","3",NA,NA,NA,NA,NA,NA,"0"
"85",2,39,"2","77","2","2",NA,"7/8/2022","7/27/2022","8/12/2022",26,15,"1"
"86",2,40,"2","47","2","4",NA,"7/8/2022","7/18/2022","8/2/2022",7,5,"1"
"87",2,41,"2","64","1","3",NA,"7/1/2022","7/27/2022","7/27/2022",35,18,"1"
"88",2,42,"2","57","5","1",NA,NA,NA,NA,NA,NA,"0"
"89",2,43,"2","57","1","4","only 2 inflor ","7/18/2022","7/20/2022",NA,0,2,"1"
"90",2,44,"2","15","2","3","only 2 inflor ","7/1/2022","7/22/2022",NA,0,2,"1"
"91",2,45,"2","79","5","2",NA,"7/1/2022","7/22/2022","7/27/2022",1,2,"1"
"92",2,46,"2","17","5","4",NA,NA,NA,NA,NA,NA,"0"
"93",3,1,"1","12","5","1",NA,"6/27/2022","7/18/2022","8/2/2022",20,15,"1"
"94",3,2,"1","68","3","4","only 1 inflor","7/4/2022","7/8/2022","8/2/2022",1,2,"1"
"95",3,3,"1","14","5","1",NA,"7/4/2022","8/4/2022","7/27/2022",18,13,"1"
"96",3,4,"1","9","2","2",NA,"7/8/2022","7/22/2022","8/10/2022",5,6,"1"
"97",3,5,"1","13","5","5","3rd inflor only has one left","7/4/2022","7/18/2022","7/29/2022",13,5,"1"
"98",3,6,"1","1","1","2",NA,NA,NA,NA,NA,NA,"0"
"99",3,7,"1","68","3","5",NA,NA,NA,NA,NA,NA,"0"
"100",3,8,"1","15","4","1","only 2 inflor ","7/13/2022","7/15/2022",NA,0,2,"1"
"101",3,9,"1","4","3","5",NA,NA,NA,NA,NA,NA,"0"
"102",3,10,"1","2","5","3",NA,NA,NA,NA,NA,NA,"0"
