Row,Column,Block,Population,Family,Replicate,Survival_LateJune,Survival_LateJune_Date,Survival_LateJune_Comment,Survival_LateJune_Surveyor,Survival_LateAugust,Survival_LateAugust_Date,Survival_LateAugust_Comment,Survival_LateAugust_Surveyor
1,1,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,2,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,3,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,4,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,5,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,6,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,7,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,8,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,9,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,10,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,11,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,12,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,13,1,40,3,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,14,1,41,2,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,15,1,14,2,1,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
1,16,1,40,4,5,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
1,17,1,15,5,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,18,1,49,4,2,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
1,19,1,7,2,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,20,1,29,3,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,21,1,15,5,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,22,1,3,3,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,23,1,68,4,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,24,2,11,3,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,25,2,36,4,2,0,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,26,2,40,3,4,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
1,27,2,67,3,5,1,6/24/2022,wilting,Yimin,1,8/23/2022,,Yimin
1,28,2,13,3,4,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
1,29,2,5,2,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,30,2,31,3,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,31,2,31,1,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,32,2,62,5,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,33,2,13,1,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,34,2,13,2,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,35,2,19,3,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,36,2,30,3,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,37,2,18,1,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,38,2,31,5,1,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
1,39,2,7,4,2,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
1,40,2,8,1,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,41,2,23,1,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,42,2,4,1,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,43,2,36,3,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,44,2,30,4,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,45,2,62,2,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
1,46,2,6,2,4,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
2,1,1,79,4,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,2,1,6,2,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,3,1,68,1,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,4,1,39,2,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,5,1,49,3,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,6,1,14,5,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,7,1,56,3,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,8,1,27,2,5,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
2,9,1,21,3,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,10,1,14,2,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,11,1,72,2,1,0,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,12,1,2,1,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,13,1,36,2,4,1,6/24/2022,wilting,Yimin,1,8/23/2022,,Yimin
2,14,1,35,2,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,15,1,15,3,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,16,1,40,2,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,17,1,46,1,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,18,1,6,4,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,19,1,9,1,3,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
2,20,1,18,5,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,21,1,79,1,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,22,1,77,1,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,23,1,31,4,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,24,2,47,2,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,25,2,68,5,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,26,2,28,1,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,27,2,14,3,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,28,2,2,5,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,29,2,42,2,2,0,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,30,2,41,1,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,31,2,68,3,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,32,2,14,4,2,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
2,33,2,72,1,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,34,2,2,4,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,35,2,4,1,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,36,2,49,4,3,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
2,37,2,17,2,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,38,2,6,1,3,0,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,39,2,77,2,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,40,2,47,2,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,41,2,64,1,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,42,2,57,5,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,43,2,57,1,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,44,2,15,2,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,45,2,79,5,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
2,46,2,17,5,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,1,1,12,5,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,2,1,68,3,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,3,1,14,5,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,4,1,9,2,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,5,1,13,5,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,6,1,1,1,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
