"","Model_Name1","Formula","Family"
"1","flowering_gr_city_m1","~, Flowered2020, (1 | Block) + (1 | Population/Family) + City_dist","(family = ""binomial"""
"2","flowering_gr_urb_m1","~, Flowered2020, (1 | Block) + (1 | Population/Family) + Urb_score","(family = ""binomial"""
"3","flowering_urbsubs_city_m1","~, Flowered2020, (1 | Block) + (1 | Population/Family) + City_dist * Transect_ID","(family = ""binomial"""
"4","flowering_urbsubs_city_m1_ME","~, Flowered2020, (1 | Block) + (1 | Population/Family) + City_dist + Transect_ID","(family = ""binomial"""
"5","flowering_urbsubs_usc_m1","~, Flowered2020, (1 | Block) + (1 | Population/Family) + Urb_score * Transect_ID","(family = ""binomial"""
"6","flowering_urbsubs_usc_m1_ME","~, Flowered2020, (1 | Block) + (1 | Population/Family) + Urb_score + Transect_ID","(family = ""binomial"""
"7","Height_Jun20_gr_city_m5","~, sqrt(Total_Height_June), (1 | Block) + (1 | Population/Family) + City_dist","(family = ""gaussian"""
"8","Height_Jun20_gr_usc_m2","~, sqrt(Total_Height_June), (1 | Block) + (1 | Population/Family) + Urb_score","(family = ""gaussian"""
"9","Height_Jun20_urbsubs_city_m2","~, sqrt(Total_Height_June), (1 | Block) + (1 | Population/Family) + City_dist * Transect_ID","(family = ""gaussian"""
"10","Height_Jun20_urbsubs_city_m2_ME","~, sqrt(Total_Height_June), (1 | Block) + (1 | Population/Family) + City_dist + Transect_ID","(family = ""gaussian"""
"11","Height_Jun20_urbsubs_usc_m2","~, sqrt(Total_Height_June), (1 | Block) + (1 | Population/Family) + Urb_score * Transect_ID","(family = ""gaussian"""
"12","Height_Jun20_urbsubs_usc_m2_ME","~, sqrt(Total_Height_June), (1 | Block) + (1 | Population/Family) + Urb_score + Transect_ID","(family = ""gaussian"""
"13","Height_Sept20_gr_city_m2","~, sqrt(Total_Height_Sept), (1 | Block) + (1 | Population/Family) + City_dist","(family = ""gaussian"""
"14","Height_Sept20_gr_usc_m5","~, sqrt(Total_Height_Sept), (1 | Block) + (1 | Population/Family) + Urb_score","(family = ""gaussian"""
"15","Height_Sept20_urbsubs_city_m5","~, sqrt(Total_Height_Sept), (1 | Block) + (1 | Population/Family) + City_dist * Transect_ID","(family = ""gaussian"""
"16","Height_Sept20_urbsubs_city_m5_ME","~, sqrt(Total_Height_Sept), (1 | Block) + (1 | Population/Family) + City_dist + Transect_ID","(family = ""gaussian"""
"17","Height_Sept20_urbsubs_usc_m2","~, sqrt(Total_Height_Sept), (1 | Block) + (1 | Population/Family) + Urb_score * Transect_ID","(family = ""gaussian"""
"18","Height_Sept20_urbsubs_usc_m2_ME","~, sqrt(Total_Height_Sept), (1 | Block) + (1 | Population/Family) + Urb_score + Transect_ID","(family = ""gaussian"""
"19","weev_stn_gr_city_m3","~, (scar_div_Juneheight_binary), (1 | Block) + (1 | Population/Family) + City_dist","(family = ""binomial"""
"20","weev_stn_gr_city_m11","~, log(scar_div_Juneheight), (1 | Population/Family) + (1 | Block) + City_dist","(family = ""gaussian"""
"21","weev_stn_gr_usc_m3","~, (scar_div_Juneheight_binary), (1 | Block) + (1 | Population/Family) + Urb_score","(family = ""binomial"""
"22","weev_stn_gr_usc_m12","~, log(scar_div_Juneheight), (1 | Population/Family) + (1 | Block) + Urb_score","(family = ""gaussian"""
"23","weev_stn_urbsubs_city_m4","~, (scar_div_Juneheight_binary), (1 | Block) + (1 | Population/Family) + City_dist * Transect_ID","(family = ""binomial"""
"24","weev_stn_urbsubs_city_m4_ME","~, (scar_div_Juneheight_binary), (1 | Block) + (1 | Population/Family) + City_dist + Transect_ID","(family = ""binomial"""
"25","weev_stn_urbsubs_city_m11","~, log(scar_div_Juneheight), (1 | Population/Family) + (1 | Block) + City_dist * Transect_ID","(family = ""gaussian"""
"26","weev_stn_urbsubs_city_m11_ME.2","~, log(scar_div_Juneheight), +(1 | Block) + (1 | Population) + City_dist + Transect_ID","(family = ""gaussian"""
"27","weev_stn_urbsubs_usc_m4","~, (scar_div_Juneheight_binary), (1 | Block) + (1 | Population/Family) + Urb_score * Transect_ID","(family = ""binomial"""
"28","weev_stn_urbsubs_usc_m4_ME","~, (scar_div_Juneheight_binary), (1 | Block) + (1 | Population/Family) + Urb_score + Transect_ID","(family = ""binomial"""
"29","weev_stn_usc_usc_m10","~, log(scar_div_Juneheight), (1 | Population/Family) + (1 | Block) + Urb_score * Transect_ID","(family = ""gaussian"""
"30","weev_stn_usc_usc_m10_ME.2","~, log(scar_div_Juneheight), +(1 | Block) + (1 | Population) + Urb_score + Transect_ID","(family = ""gaussian"""
"31","weev_gr_city_m3","~, (Scar_length_cm_binary), (1 | Block) + (1 | Population/Family) + City_dist","(family = ""binomial"""
"32","weev_gr_city_m11","~, log(Scar_length_cm), (1 | Population/Family) + (1 | Block) + City_dist","(family = ""gaussian"""
"33","weev_gr_usc_m3","~, (Scar_length_cm_binary), (1 | Block) + (1 | Population/Family) + Urb_score","(family = ""binomial"""
"34","weev_gr_usc_m10","~, log(Scar_length_cm), (1 | Population/Family) + (1 | Block) + Urb_score","(family = ""gaussian"""
