"","Response","Sites","Predictor","Chi_sq","p","Significance","AIC"
"1","Flowered2020","All","Distance to City Center",0.833,0.361,NA,221.644
"2","Flowered2020","All","Urbanization Score",0.34,0.56,NA,222.202
"3","Flowered2020","Urban Only","Distance to City Center",0.815,0.367,NA,188.988
"4","Flowered2020","Urban Only","Subtransect",0.04,0.842,NA,188.988
"5","Flowered2020","Urban Only","Distance to City Center:Subtransect",0.563,0.453,NA,188.988
"6","Flowered2020","Urban Only","Distance to City Center",0.898,0.343,NA,187.573
"7","Flowered2020","Urban Only","Subtransect",0.033,0.855,NA,187.573
"8","Flowered2020","Urban Only","Urbanization Score",1.239,0.266,NA,189.26
"9","Flowered2020","Urban Only","Subtransect",0.01,0.921,NA,189.26
"10","Flowered2020","Urban Only","Urbanization Score:Subtransect",0.001,0.976,NA,189.26
"11","Flowered2020","Urban Only","Urbanization Score",1.24,0.266,NA,187.26
"12","Flowered2020","Urban Only","Subtransect",0.01,0.921,NA,187.26
"13","sqrt(Total_Height_June)","All","Distance to City Center",2.985,0.084,"Marginal",4081.588
"14","sqrt(Total_Height_June)","All","Urbanization Score",1.213,0.271,NA,4083.308
"15","sqrt(Total_Height_June)","Urban Only","Distance to City Center",1.831,0.176,NA,2724.627
"16","sqrt(Total_Height_June)","Urban Only","Subtransect",0.741,0.389,NA,2724.627
"17","sqrt(Total_Height_June)","Urban Only","Distance to City Center:Subtransect",0.229,0.632,NA,2724.627
"18","sqrt(Total_Height_June)","Urban Only","Distance to City Center",1.827,0.176,NA,2722.856
"19","sqrt(Total_Height_June)","Urban Only","Subtransect",0.739,0.39,NA,2722.856
"20","sqrt(Total_Height_June)","Urban Only","Urbanization Score",0.126,0.723,NA,2726.409
"21","sqrt(Total_Height_June)","Urban Only","Subtransect",1.105,0.293,NA,2726.409
"22","sqrt(Total_Height_June)","Urban Only","Urbanization Score:Subtransect",0.132,0.716,NA,2726.409
"23","sqrt(Total_Height_June)","Urban Only","Urbanization Score",0.123,0.725,NA,2724.54
"24","sqrt(Total_Height_June)","Urban Only","Subtransect",1.097,0.295,NA,2724.54
"25","sqrt(Total_Height_Sept)","All","Distance to City Center",4.479,0.034,"*",4937.712
"26","sqrt(Total_Height_Sept)","All","Urbanization Score",1.341,0.247,NA,4940.824
"27","sqrt(Total_Height_Sept)","Urban Only","Distance to City Center",2.349,0.125,NA,3318.147
"28","sqrt(Total_Height_Sept)","Urban Only","Subtransect",0.953,0.329,NA,3318.147
"29","sqrt(Total_Height_Sept)","Urban Only","Distance to City Center:Subtransect",0.105,0.746,NA,3318.147
