,Response,Sites,Predictor,X²,p,Significance,AIC,,Response,Sites,Predictor,X²,p,Significance,AIC
1,Flowering Success,Urban Only,Distance to City Center,0.815,0.367,,188.988,,Flowering Success,Urban Only,Distance to City Center,0.815,0.367,,188.988
1,,,Subtransect,0.04,0.842,,,,,,Subtransect,0.04,0.842,,
1,,,Distance to City Center:Subtransect,0.563,0.453,,,,,,Distance to City Center:Subtransect,0.563,0.453,,
1,Flowering Success,Urban Only,Distance to City Center,0.898,0.343,,187.573,,Flowering Success,Urban Only,Distance to City Center,0.898,0.343,,187.573
1,,,Subtransect,0.033,0.855,,,,,,Subtransect,0.033,0.855,,
2,Flowering Success,Urban Only,Urbanization Score,1.239,0.266,,189.26,,Flowering Success,Urban Only,Urbanization Score,1.239,0.266,,189.26
2,,,Subtransect,0.01,0.921,,,,,,Subtransect,0.01,0.921,,
2,,,Urbanization Score:Subtransect,0.001,0.976,,,,,,Urbanization Score:Subtransect,0.001,0.976,,
2,Flowering Success,Urban Only,Urbanization Score,1.24,0.266,,187.26,,Flowering Success,Urban Only,Urbanization Score,1.24,0.266,,187.26
2,,,Subtransect,0.01,0.921,,,,,,Subtransect,0.01,0.921,,
1,June Height,Urban Only,Distance to City Center,1.831,0.176,,2724.627,,June Height,Urban Only,Distance to City Center,1.831,0.176,,2724.627
1,,,Subtransect,0.741,0.389,,,,,,Subtransect,0.741,0.389,,
1,,,Distance to City Center:Subtransect,0.229,0.632,,,,,,Distance to City Center:Subtransect,0.229,0.632,,
1,June Height,Urban Only,Distance to City Center,1.827,0.176,,2722.856,,June Height,Urban Only,Distance to City Center,1.827,0.176,,2722.856
1,,,Subtransect,0.739,0.39,,,,,,Subtransect,0.739,0.39,,
2,June Height,Urban Only,Urbanization Score,0.126,0.723,,2726.409,,June Height,Urban Only,Urbanization Score,0.126,0.723,,2726.409
2,,,Subtransect,1.105,0.293,,,,,,Subtransect,1.105,0.293,,
2,,,Urbanization Score:Subtransect,0.132,0.716,,,,,,Urbanization Score:Subtransect,0.132,0.716,,
2,June Height,Urban Only,Urbanization Score,0.123,0.725,,2724.54,,June Height,Urban Only,Urbanization Score,0.123,0.725,,2724.54
2,,,Subtransect,1.097,0.295,,,,,,Subtransect,1.097,0.295,,
1,Sept Height,Urban Only,Distance to City Center,2.349,0.125,,3318.147,,Sept Height,Urban Only,Distance to City Center,2.349,0.125,,3318.147
1,,,Subtransect,0.953,0.329,,,,,,Subtransect,0.953,0.329,,
1,,,Distance to City Center:Subtransect,0.105,0.746,,,,,,Distance to City Center:Subtransect,0.105,0.746,,
1,Sept Height,Urban Only,Distance to City Center,2.351,0.125,,3316.252,,Sept Height,Urban Only,Distance to City Center,2.351,0.125,,3316.252
1,,,Subtransect,0.953,0.329,,,,,,Subtransect,0.953,0.329,,
2,Sept Height,Urban Only,Urbanization Score,0.006,0.939,,3320.07,,Sept Height,Urban Only,Urbanization Score,0.006,0.939,,3320.07
2,,,Subtransect,1.198,0.274,,,,,,Subtransect,1.198,0.274,,
2,,,Urbanization Score:Subtransect,0.533,0.465,,,,,,Urbanization Score:Subtransect,0.533,0.465,,
2,Sept Height,Urban Only,Urbanization Score,0.006,0.937,,3318.601,,Sept Height,Urban Only,Urbanization Score,0.006,0.937,,3318.601
