"","Type","R2m","R2c","Model","Species"
"1","delta",0.00158540323092166,0.00315257594476665,"1","Danaus plexippus"
"2","lognormal",0.0176601844175122,0.0351172947606685,"1","Danaus plexippus"
"3","trigamma",3.63263177914626e-05,7.2234920049165e-05,"1","Danaus plexippus"
"4","delta1",0.00163091156839231,0.00313983214187458,"2","Danaus plexippus"
"5","lognormal1",0.017976535759826,0.0346084397659272,"2","Danaus plexippus"
"6","trigamma1",3.79285286919023e-05,7.3020031121761e-05,"2","Danaus plexippus"
"7","delta2",0.000440967998449065,0.000440968349972415,"3","Danaus plexippus"
"8","lognormal2",0.00508556594004101,0.00508556999406575,"3","Danaus plexippus"
"9","trigamma2",9.98570462459283e-06,9.98571258482656e-06,"3","Danaus plexippus"
"10","delta3",0.000853148557886044,0.00119183832533021,"4","Danaus plexippus"
"11","lognormal3",0.0134927557532838,0.0188492183130798,"4","Danaus plexippus"
"12","trigamma3",1.25162608405196e-05,1.74850666061297e-05,"4","Danaus plexippus"
"13","delta",0.0280836965204719,0.0636727963993755,"1","Liriomyza asclepiadis"
"14","lognormal",0.0466925350351521,0.105863709020524,"1","Liriomyza asclepiadis"
"15","trigamma",0.0127838096135254,0.028984108489316,"1","Liriomyza asclepiadis"
"16","delta1",0.0284585845599449,0.0633090508547353,"2","Liriomyza asclepiadis"
"17","lognormal1",0.0473396521383317,0.105311929282997,"2","Liriomyza asclepiadis"
"18","trigamma1",0.0129455563586667,0.0287987227238001,"2","Liriomyza asclepiadis"
"19","delta2",0.0275009748465884,0.0701405233773061,"3","Liriomyza asclepiadis"
"20","lognormal2",0.048826217294456,0.124530001378917,"3","Liriomyza asclepiadis"
"21","trigamma2",0.0109380102070515,0.0278971114627264,"3","Liriomyza asclepiadis"
"22","delta3",0.0271174340623567,0.0693425106154133,"4","Liriomyza asclepiadis"
"23","lognormal3",0.0481465051951936,0.123116351639895,"4","Liriomyza asclepiadis"
"24","trigamma3",0.0107936509371643,0.027600651778789,"4","Liriomyza asclepiadis"
"25","delta",5.77796354351965e-16,5.77796371371374e-16,"1","Labidomera clivicollis"
"26","lognormal",0.0247730337302664,0.0247730344599741,"1","Labidomera clivicollis"
"27","trigamma",3.7583282547754e-31,3.75832836547968e-31,"1","Labidomera clivicollis"
"28","delta1",3.0468584230526e-15,3.04685861563971e-15,"2","Labidomera clivicollis"
"29","lognormal1",0.0263559048876838,0.0263559065535989,"2","Labidomera clivicollis"
"30","trigamma1",1.02920552757233e-29,1.02920559262678e-29,"2","Labidomera clivicollis"
"31","delta2",4.43252658774698e-17,4.43255224230928e-17,"3","Labidomera clivicollis"
"32","lognormal2",0.00154536610132256,0.00154537504558722,"3","Labidomera clivicollis"
"33","trigamma2",3.65488607108286e-32,3.65490722482002e-32,"3","Labidomera clivicollis"
"34","delta3",0.0132120002830896,0.100852223937219,"4","Labidomera clivicollis"
"35","lognormal3",0.0472767134227414,0.360881137372416,"4","Labidomera clivicollis"
"36","trigamma3",0.00107534469751631,0.00820851513168872,"4","Labidomera clivicollis"
