Variable,Chisq,p,PVE,Group
Height before flowering,0,0.5,0,Population
Height after flowering,0.776,0.189,1.442,Population
LDMC,0,0.3805,0.407,Population
Mortality,0.795,0.186,1.41,Population
Ramets before flowering,0.032,0.429,0,Population
Ramets after flowering,0.121,0.364,0.324,Population
Relative growth rate,0,0.5,0,Population
SLA,0.059,0.4045,0.349,Population
D. plexippus abundance,0.07,0.396,0.354,Population
L. clivicollis abundance,0,0.5,0.675,Population
L. asclepiadis abundance,1.555,0.106,2.159,Population
Herbivory before flowering (binary),0,0.5,0,Population
Herbivory before flowering (quantitative),0,0.5,0,Population
Herbivory after flowering (binary),0,0.4955,0,Population
Herbivory after flowering (quantitative),0,0.5,0,Population
Latex exudation,4.536,0.0165,4.045,Population
Weevil damage (binary),0,0.4995,0,Population
Weevil damage (quantitative),1.208,0.136,2.112,Population
Date of first flower,0,0.5,0,Population
Date of first follicle,0,0.5,0,Population
Flower size,1.223,0.1345,7.189,Population
Flowering duration,0,0.5,0,Population
Flowering success,4.855,0.014,3.42,Population
Follicles,0,0.5,0,Population
Inflorescences,3.285,0.035,7.409,Population
Flowers per inflorescence,0.833,0.1805,8.369,Population
Pollinaria removed,0.017,0.449,1.003,Population
Height before flowering,1.477,0.112,3.438,Family
Height after flowering,5.626,0.009,6.616,Family
LDMC,0,0.5,0,Family
Mortality,0.778,0.189,2.746,Family
Ramets before flowering,68.887,<0.001,6.927,Family
Ramets after flowering,27.65,<0.001,5.643,Family
Relative growth rate,0.073,0.394,1.051,Family
SLA,0,0.5,0,Family
D. plexippus abundance,4.087,0.0215,0,Family
L. clivicollis abundance,0,0.5,0,Family
L. asclepiadis abundance,1.144,0.1425,2.32,Family
Herbivory before flowering (binary),0.001,0.49,0.317,Family
Herbivory before flowering (quantitative),0,0.5,0,Family
Herbivory after flowering (binary),7.092,0.004,1.948,Family
Herbivory after flowering (quantitative),0.413,0.2605,2.163,Family
Latex exudation,2.033,0.077,4.748,Family
Weevil damage (binary),3.501,0.0305,5.624,Family
Weevil damage (quantitative),1.189,0.138,4.006,Family
Date of first flower,84.743,<0.001,9.564,Family
Date of first follicle,47.484,<0.001,0,Family
Flower size,0.11,0.37,4.096,Family
Flowering duration,0,0.5,0,Family
Flowering success,0.267,0.3025,1.443,Family
Follicles,0,0.5,0,Family
Inflorescences,0,0.5,0,Family
Flowers per inflorescence,0,0.5,0,Family
Pollinaria removed,3.304,0.0345,27.192,Family
