"","Population","Row","Column","Block","Family","Replicate","Date","Dead","Monarch_Quantity_Past","Monarch_Quantity_Observed","Monarch_Note","Tetraopes_tetropthalmus","Liriomyza_asclepiadis","Aphis_nerii","Aphis_asclepiadis","Myzocallis_asclepiadis","Euchaetes_egle","Lygaeus_kalmii","Labidomera_clivicollis","Rhyssomatus_lineaticollis","Comment","Sample","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score","Year","Surveyor"
"1",1,13,31,4,2,5,"08/15/2020",0,0,0,"",0,2,0,0,0,0,0,0,0,"","Late","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,"2020","Kavya"
"2",1,11,18,1,2,4,"07/16/2020",0,0,0,"",0,13,0,0,0,0,0,0,0,"","Early","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,"2020","Kavya"
"3",1,12,2,3,3,2,"08/16/2020",0,0,1,"1st ins",0,13,0,0,0,0,6,0,0,"","Late","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,"2020","Kavya"
"4",1,3,45,2,1,5,"08/18/2020",0,0,0,"",0,3,0,0,0,0,0,0,0,"","Late","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,"2020","Kavya"
"5",1,17,46,4,4,4,"08/15/2020",0,0,0,"",0,26,0,0,0,0,0,3,0,"","Late","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,"2020","Kavya"
"6",1,3,6,1,1,2,"07/20/2020",0,0,1,"1 egg",0,1,0,31,0,0,0,0,0,"","Early","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,"2020","Kavya"
"7",1,10,5,1,5,2,"07/18/2020",0,0,2,"2 eggs",0,18,0,0,0,0,0,1,0,"","Early","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,"2020","Kavya"
"8",1,4,7,1,2,1,"08/18/2020",0,0,1,"2nd/3rd ins",0,15,0,0,0,0,0,0,0,"","Late","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,"2020","Kavya"
"9",1,4,43,2,3,5,"08/18/2020",0,0,0,"",0,16,0,0,180,0,0,0,0,"","Late","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,"2020","Kavya"
"10",1,4,11,1,4,1,"07/20/2020",0,0,0,"",0,12,0,0,0,0,0,0,0,"","Early","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,"2020","Kavya"
"11",1,13,27,4,2,3,"08/15/2020",0,0,0,"",0,2,0,0,0,0,0,0,0,"","Late","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,"2020","Kavya"
"12",1,6,38,2,4,5,"07/18/2020",0,0,0,"",0,3,0,0,0,0,0,0,0,"","Early","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,"2020","Kavya"
"13",1,9,5,1,4,3,"08/17/2020",0,0,0,"",0,7,0,0,0,0,2,0,0,"","Late","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,"2020","Kavya"
"14",1,6,26,2,1,3,"07/18/2020",0,0,0,"",0,16,0,0,0,0,0,0,0,"","Early","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,"2020","Kavya"
