"","Population","Row","Column","Block","Family","Replicate","Herbivory_mean_late","Herbivory_mean_early","Year","Patch_ID","Latitude","Longitude","Transect_ID","City_dist","Urb_score","Deer_damage_DC3","Exposed_rhizome_DC1","Herbivory_early","Herbivory_late","Urb_Rur"
"1","1",13,43,4,"3","1",NA,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,1,NA,NA,NA
"2","1",9,46,2,"1","4",0.304,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"3","1",13,27,4,"2","3",NA,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"4","1",11,18,1,"2","4",0,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,1,0,NA,NA,NA
"5","1",12,2,3,"3","2",0.016,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"6","1",7,37,2,"1","1",0,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"7","1",20,15,3,"3","3",NA,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,1,0,NA,NA,NA
"8","1",9,5,1,"4","3",0.274,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"9","1",6,35,2,"3","4",0,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"10","1",20,11,3,"5","4",NA,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"11","1",6,38,2,"4","5",NA,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"12","1",4,43,2,"3","5",0,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,1,NA,NA,NA
"13","1",4,8,1,"2","2",0,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,1,NA,NA,NA
"14","1",16,23,3,"5","3",NA,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,1,NA,NA,NA
"15","1",17,46,4,"4","4",0,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"16","1",4,7,1,"2","1",0,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"17","1",3,6,1,"1","2",0,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"18","1",13,31,4,"2","5",NA,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"19","1",10,5,1,"5","2",0,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"20","1",6,26,2,"1","3",0,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"21","1",4,11,1,"4","1",NA,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"22","1",19,31,4,"4","2",0,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"23","1",3,45,2,"1","5",NA,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"24","1",15,16,3,"5","5",NA,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"25","1",19,27,4,"5","1",0.004,NA,"2019","AS001",43.550556,-79.663,"South",25.6072117851047,-1.17377,0,0,NA,NA,NA
"26","2",20,34,4,"5","2",NA,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,1,0,NA,NA,NA
"27","2",2,34,2,"4","3",0,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,1,NA,NA,NA
"28","2",4,19,1,"3","1",0,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,0,NA,NA,NA
"29","2",18,46,4,"2","4",NA,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,0,NA,NA,NA
"30","2",16,41,4,"4","1",0,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,0,NA,NA,NA
"31","2",7,45,2,"5","4",NA,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,0,NA,NA,NA
