"","Population","Row","Column","Block","Family","Replicate","Comment","Flowered","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score","Pop_ID"
"1",1,13,27,4,2,3,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"2",1,13,31,4,2,5,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"3",1,19,31,4,4,2,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"4",1,15,16,3,5,5,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"5",1,20,11,3,5,4,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"6",1,3,45,2,1,5,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"7",1,20,15,3,3,3,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"8",1,13,43,4,3,1,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"9",1,6,26,2,1,3,NA,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"10",1,4,8,1,2,2,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"11",1,10,5,1,5,2,"second inflor formed but tiny flowers aren't growing. seems aborted. no follicles this year",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"12",1,9,5,1,4,3,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"13",1,17,46,4,4,4,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"14",1,4,7,1,2,1,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"15",1,3,6,1,1,2,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"16",1,6,35,2,3,4,NA,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"17",1,7,37,2,1,1,NA,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"18",1,6,38,2,4,5,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"19",1,16,23,3,5,3,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"20",1,12,2,3,3,2,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"21",1,19,27,4,5,1,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"22",1,11,18,1,2,4,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"23",1,4,11,1,4,1,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"24",1,9,46,2,1,4,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"25",1,4,43,2,3,5,NA,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"26",2,20,1,3,3,4,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"27",2,18,46,4,2,4,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"28",2,16,28,4,4,2,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"29",2,16,41,4,4,1,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"30",2,3,10,1,5,3,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"31",2,2,12,1,1,1,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"32",2,7,45,2,5,4,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"33",2,18,6,3,3,3,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"34",2,14,31,4,1,3,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"35",2,20,44,4,3,5,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"36",2,19,1,3,2,1,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"37",2,16,24,3,3,2,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"38",2,2,34,2,4,3,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"39",2,2,28,2,5,5,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"40",2,11,9,1,1,2,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"41",2,21,4,3,1,4,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"42",2,11,20,1,4,5,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"43",2,3,14,1,2,5,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"44",2,20,34,4,5,2,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"45",2,6,3,1,2,3,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"46",2,4,42,2,2,2,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"47",2,5,41,2,1,5,NA,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"48",3,5,11,1,2,4,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"49",3,7,1,1,2,5,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"50",3,5,23,2,4,3,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"51",3,18,41,4,5,5,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"52",3,18,10,3,5,2,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"53",3,21,43,4,4,2,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"54",3,9,9,1,2,2,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"55",3,6,20,1,5,1,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"56",3,16,43,4,2,3,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"57",3,18,45,4,1,1,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"58",3,10,26,2,5,4,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"59",3,20,3,3,3,2,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"60",3,1,22,1,3,5,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"61",3,15,44,4,2,1,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"62",3,17,7,3,4,5,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"63",3,15,42,4,3,4,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"64",3,11,2,1,4,1,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"65",3,21,38,4,3,3,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"66",3,20,40,4,5,3,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"67",3,20,13,3,4,4,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"68",3,16,37,4,3,1,NA,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,NA
"69",4,3,24,2,4,5,NA,0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,NA
