"","Population","Row","Column","Block","Family","Replicate","Weevil_dam_binary","Total_Height_early","Scar_length_cm","scar_div_earlyheight","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score","Pop_ID"
"1",1,13,31,4,2,5,1,40,1.714,0.04285,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"2",1,15,16,3,5,5,0,24,0,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"3",1,4,8,1,2,2,0,30.7,0,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"4",1,19,31,4,4,2,1,10.5,3.641,0.346761904761905,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"5",1,13,27,4,2,3,1,18.6,7.975,0.428763440860215,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"6",1,20,15,3,3,3,1,11.5,2.192,0.190608695652174,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"7",1,10,5,1,5,2,0,91.7,1.352,0.0147437295528899,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"8",1,3,45,2,1,5,1,52.4,5.343,0.101965648854962,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"9",1,6,26,2,1,3,1,57.3,2.034,0.0354973821989529,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"10",1,4,11,1,4,1,0,38.3,0,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"11",1,20,11,3,5,4,1,26.8,20.091,0.749664179104478,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"12",1,9,5,1,4,3,1,30.7,4.091,0.133257328990228,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"13",1,17,46,4,4,4,0,49.4,0,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"14",1,4,7,1,2,1,0,52.5,0,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"15",1,13,43,4,3,1,0,0,0,NA,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"16",1,3,6,1,1,2,0,12.8,0,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"17",1,7,37,2,1,1,0,113.8,0,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"18",1,6,38,2,4,5,0,15.5,0,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"19",1,16,23,3,5,3,1,54.5,4.547,0.0834311926605504,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"20",1,12,2,3,3,2,0,67.2,0,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"21",1,6,35,2,3,4,0,69.2,0,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"22",1,11,18,1,2,4,1,33.6,1.714,0.0510119047619048,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"23",1,4,43,2,3,5,0,32.6,0,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"24",1,9,46,2,1,4,1,61.1,7.434,0.121669394435352,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"25",1,19,27,4,5,1,1,17,0,0,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,NA
"26",2,4,19,1,3,1,1,26.3,2.713,0.103155893536122,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"27",2,3,14,1,2,5,0,64.6,0.526,0.00814241486068112,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
"28",2,14,31,4,1,3,1,65.8,3.013,0.045790273556231,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,NA
