Trait,Category,Year,,,
Cardenolide concentration,Defense,2020, ,,
Latex exudation,Defense,2020, ,,
Specialist herbivore presence (10 species),Defense,2020,,,
Specialist herbivore presence (3 species),Defense,2021,,,
Weevil damage,Defense,2020,,,
Weevil damage,Defense,2021, ,,
Herbivory,Defense,2020,,,
Herbivory,Defense,2021,,,
Herbivory,Defense,2019,,,
Leaf dry matter content (LDMC),Growth,2020, ,,           
Specific leaf area (SLA),Growth,2020, ,,           
Height,Growth,2019,,,
Height,Growth,2020,,,
Height,Growth,2021,,,
No. ramets,Growth,2019,,,
No. ramets,Growth,2020,,,
No. ramets,Growth,2021,,,
Relative growth rate,Growth,2019,,,
Relative growth rate,Growth,2020,,,
Relative growth rate,Growth,2021,,,
Survival,Growth,2019,,,
Survival,Growth,2020,,,
Survival,Growth,2021,,,
Flowering duration,Reproduction,2020,,,
Flowering duration,Reproduction,2021,,,
Mean flower size,Reproduction,2020,,,
Mean flower size,Reproduction,2021,,,
No. flowers per inflorescence,Reproduction,2020,,,
No. flowers per inflorescence,Reproduction,2021,,,
No. follicles,Reproduction,2020,,,
No. follicles,Reproduction,2021,,,
No. inflorescences,Reproduction,2020,,,
No. inflorescences,Reproduction,2021,,,
Pollinaria removed,Reproduction,2020,,,
Pollinaria removed,Reproduction,2021,,,
