"","variable","p","Bonferroni","BH","Holm","Hochberg","Hommel","BY"
"1","Latex_weight_mg^(1/3)",0.045,1,0.885616071815166,1,0.999,0.945,1
"2","cardenolide_17.6",0.0681243132165512,1,0.885616071815166,1,0.999,0.964285714285714,1
"3","log(Herbivory_mean_early)",0.138,1,0.928909090909091,1,0.999,0.999,1
"4","Herbivory_mean_early_binary",0.279,1,0.928909090909091,1,0.999,0.999,1
"5","total_flower_count",0.316,1,0.928909090909091,1,0.999,0.999,1
"6","Total_Height_early^(1/3)",0.35,1,0.928909090909091,1,0.999,0.999,1
"7","Pods",0.371,1,0.928909090909091,1,0.999,0.999,1
"8","Julian_oldest_inflor",0.386,1,0.928909090909091,1,0.999,0.999,1
"9","log(Scar_length_cm)",0.408,1,0.928909090909091,1,0.999,0.999,1
"10","Peduncles^3",0.435,1,0.928909090909091,1,0.999,0.999,1
"11","Total_Height_late^(1/3)",0.467,1,0.928909090909091,1,0.999,0.999,1
"12","Scar_binary",0.522,1,0.928909090909091,1,0.999,0.999,1
"13","cardenolide_15",0.537821033929814,1,0.928909090909091,1,0.999,0.999,1
"14","sqrt(LDMC)",0.551,1,0.928909090909091,1,0.999,0.999,1
"15","Flowered",0.584,1,0.928909090909091,1,0.999,0.999,1
"16","SLA^(1/3)",0.615,1,0.928909090909091,1,0.999,0.999,1
"17","Ramets_late",0.691,1,0.928909090909091,1,0.999,0.999,1
"18","cardenolide_Total",0.704754913512087,1,0.928909090909091,1,0.999,0.999,1
"19","cardenolide_6.6",0.70550351138732,1,0.928909090909091,1,0.999,0.999,1
"20","Overall_mean",0.737,1,0.928909090909091,1,0.999,0.999,1
"21","Herbivory_mean_late_binary",0.785,1,0.928909090909091,1,0.999,0.999,1
"22","seasons",0.786,1,0.928909090909091,1,0.999,0.999,1
"23","log(Herbivory_mean_late)",0.827,1,0.934869565217391,1,0.999,0.999,1
"24","flowering_time_num",0.883,1,0.936,1,0.999,0.999,1
"25","rel_growth_rate^(1/3)",0.9,1,0.936,1,0.999,0.999,1
"26","Ramets_early",0.999,1,0.999,1,0.999,0.999,1
