"","variable","p","Bonferroni","BH","Holm","Hochberg","Hommel","BY"
"1","flowering_time_num",0.014,0.308,0.308,0.308,0.308,0.308,1
"2","log(Scar_length_cm)",0.034,0.748,0.374,0.714,0.714,0.612,1
"3","Herbivory_mean_early_binary",0.068,1,0.455714285714286,1,0.906,0.785333333333333,1
"4","SLA^(1/3)",0.102,1,0.455714285714286,1,0.906,0.8835,1
"5","Julian_oldest_inflor",0.139,1,0.455714285714286,1,0.906,0.906,1
"6","Overall_mean",0.141,1,0.455714285714286,1,0.906,0.906,1
"7","log(Herbivory_mean_early)",0.145,1,0.455714285714286,1,0.906,0.906,1
"8","log(Herbivory_mean_late)",0.196,1,0.479111111111111,1,0.906,0.906,1
"9","Flowered",0.196,1,0.479111111111111,1,0.906,0.906,1
"10","Pods",0.228,1,0.5016,1,0.906,0.906,1
"11","log(LDMC)",0.264,1,0.528,1,0.906,0.906,1
"12","Ramets_early",0.291,1,0.5335,1,0.906,0.906,1
"13","rel_growth_rate^(1/3)",0.32,1,0.541538461538462,1,0.906,0.906,1
"14","Total_Height_early^(1/3)",0.409,1,0.613066666666667,1,0.906,0.906,1
"15","seasons",0.418,1,0.613066666666667,1,0.906,0.906,1
"16","Total_Height_late^(1/3)",0.46,1,0.6325,1,0.906,0.906,1
"17","Herbivory_mean_late_binary",0.545,1,0.682,1,0.906,0.906,1
"18","Ramets_late",0.585,1,0.682,1,0.906,0.906,1
"19","total_flower_count",0.589,1,0.682,1,0.906,0.906,1
"20","Peduncles^2",0.762,1,0.8382,1,0.906,0.906,1
"21","Scar_binary",0.894,1,0.906,1,0.906,0.906,1
"22","Latex_weight_mg^(1/3)",0.906,1,0.906,1,0.906,0.906,1
