x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.1,2014-01-01 00:00:00,ON,2014,1,1,-11.5,,-14.5,,-8.4,,0,,,M,,M,8,,,M,,M,0,,29.5,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.2,2014-01-02 00:00:00,ON,2014,1,2,-16.8,,-19.2,,-14.3,,2,,,M,,M,8,,,M,,M,0,,34.8,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.3,2014-01-03 00:00:00,ON,2014,1,3,-14.7,,-22.3,,-7.1,,0.2,,,M,,M,9,,,M,,M,0,,32.7,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.4,2014-01-04 00:00:00,ON,2014,1,4,-3.5,,-7.2,,0.3,,0,,,M,,M,9,,,M,,M,0,,21.5,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.5,2014-01-05 00:00:00,ON,2014,1,5,-0.2,,-1.7,,1.4,,11.8,,,M,,M,11,,,M,,M,0,,18.2,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.6,2014-01-06 00:00:00,ON,2014,1,6,-6.7,,-15.8,,2.4,,6.4,,,M,,M,12,,,M,,M,0,,24.7,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.7,2014-01-07 00:00:00,ON,2014,1,7,-19,,-22.2,,-15.8,,0.4,,,M,,M,12,,,M,,M,0,,37,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.8,2014-01-08 00:00:00,ON,2014,1,8,-12,,-16.2,,-7.7,,0,,,M,,M,13,,,M,,M,0,,30,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.9,2014-01-09 00:00:00,ON,2014,1,9,-7.4,,-11.8,,-2.9,,0,,,M,,M,13,,,M,,M,0,,25.4,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.10,2014-01-10 00:00:00,ON,2014,1,10,0.1,,-4,,4.1,,2,,,M,,M,13,,,M,,M,0,,17.9,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.11,2014-01-11 00:00:00,ON,2014,1,11,5.1,,2.9,,7.3,,9.6,,,M,,M,11,,,M,,M,0,,12.9,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.12,2014-01-12 00:00:00,ON,2014,1,12,2.4,,1.3,,3.4,,0,,,M,,M,8,,,M,,M,0,,15.6,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.13,2014-01-13 00:00:00,ON,2014,1,13,4.7,,1.9,,7.4,,0,,,M,,M,8,,,M,,M,0,,13.3,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.14,2014-01-14 00:00:00,ON,2014,1,14,3.3,,1.3,,5.3,,0,,,M,,M,5,,,M,,M,0,,14.7,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.15,2014-01-15 00:00:00,ON,2014,1,15,-0.6,,-3.5,,2.4,,0,,,M,,M,5,,,M,,M,0,,18.6,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.16,2014-01-16 00:00:00,ON,2014,1,16,-2,,-3.6,,-0.4,,0,,,M,,M,5,,,M,,M,0,,20,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.17,2014-01-17 00:00:00,ON,2014,1,17,0.6,,-1.2,,2.3,,1.3,,,M,,M,7,,,M,,M,0,,17.4,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.18,2014-01-18 00:00:00,ON,2014,1,18,-3.9,,-6.9,,-0.8,,0.5,,,M,,M,6,,,M,,M,0,,21.9,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.19,2014-01-19 00:00:00,ON,2014,1,19,-4.6,,-7.2,,-1.9,,1.1,,,M,,M,6,,,M,,M,0,,22.6,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.20,2014-01-20 00:00:00,ON,2014,1,20,-9.2,,-16.5,,-1.8,,1,,,M,,M,7,,,M,,M,0,,27.2,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.21,2014-01-21 00:00:00,ON,2014,1,21,-17,,-19.8,,-14.2,,0.5,,,M,,M,7,,,M,,M,0,,35,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.22,2014-01-22 00:00:00,ON,2014,1,22,-16.3,,-20.5,,-12.1,,0,,,M,,M,7,,,M,,M,0,,34.3,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.23,2014-01-23 00:00:00,ON,2014,1,23,-14.8,,-17.4,,-12.2,,0,,,M,,M,7,,,M,,M,0,,32.8,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.24,2014-01-24 00:00:00,ON,2014,1,24,-12.3,,-17.7,,-6.8,,0,,,M,,M,8,,,M,,M,0,,30.3,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.25,2014-01-25 00:00:00,ON,2014,1,25,-8.3,,-13.8,,-2.8,,1.6,,,M,,M,7,,,M,,M,0,,26.3,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.26,2014-01-26 00:00:00,ON,2014,1,26,-9.2,,-14.6,,-3.8,,1.1,,,M,,M,7,,,M,,M,0,,27.2,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.27,2014-01-27 00:00:00,ON,2014,1,27,-9.9,,-16,,-3.7,,2.8,,,M,,M,13,,,M,,M,0,,27.9,,,,,
