"","Patch_ID","Pop_ID","Population","Latitude","Longitude","Transect_ID","CTD_m","City_dist"
"1","AS001","MW001",1,43.550556,-79.663,"South",25607.2117851047,25.6072117851047
"2","AS002","MW002",2,43.550225,-79.654062,"South",24987.050922191,24.987050922191
"3","AS003","MW003",3,43.565106,-79.671002,"South",25491.7782859607,25.4917782859607
"4","AS005","MW004",4,43.567334,-79.686386,"South",26539.6859866781,26.5396859866781
"5","AS010","MW005",5,43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074
"6","AS014","MW006",6,43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074
"7","AS017","MW007",7,43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192
"8","AS021","MW008",8,43.457451,-79.866815,"Rural",45019.0640911002,45.0190640911002
"9","AS022","MW009",9,43.516263,-79.77922,"Rural",35701.894221116,35.701894221116
"10","AS023","MW010",10,43.525816,-79.791571,"Rural",36157.7518602547,36.1577518602547
"11","AS024","MW011",11,43.589594,-79.638468,"South",22044.809923962,22.044809923962
"12","AS025","MW012",12,43.534585,-79.645432,"South",25268.1118797278,25.2681118797278
"13","AS026","MW013",13,43.615384,-79.570454,"South",15936.9812417788,15.9369812417788
"14","AS027","MW014",14,43.648581,-79.521463,"South",11353.9911211033,11.3539911211033
"15","AS028","MW015",15,43.661177,-79.500382,"South",9637.37613958796,9.63737613958796
"16","AS029","MW016",16,43.711948,-79.535894,"North",13928.7929727584,13.9287929727584
"17","AS030","MW017",17,43.501061,-79.844567,"Rural",41192.64328354,41.19264328354
"18","AS031","MW018",18,43.484111,-79.837702,"Rural",41532.0035061599,41.5320035061599
"19","AS032","MW019",19,43.41401,-79.953028,"Rural",53473.1891361251,53.4731891361251
"20","AS033","MW020",20,43.387612,-79.959232,"Rural",55443.5483441203,55.4435483441203
"21","AS034","MW021",21,43.399222,-79.930576,"Rural",52795.3944398004,52.7953944398004
"22","AS035","MW022",22,43.377146,-79.973861,"Rural",57070.8592497744,57.0708592497744
"23","AS036","MW023",23,43.371308,-79.981819,"Rural",57965.848752526,57.965848752526
"24","AS037","MW024",24,43.363349,-80.01471,"Rural",60679.9943238511,60.6799943238511
"25","AS038","MW025",25,43.726774,-79.432109,"North",8859.24904641448,8.85924904641448
"26","AS039","MW026",26,43.719453,-79.445163,"North",8725.65115733648,8.72565115733648
"27","AS040","MW027",27,43.726466,-79.445593,"North",9384.80336002964,9.38480336002964
"28","AS041","MW028",28,43.713472,-79.463271,"North",9188.66419885103,9.18866419885103
"29","AS042","MW029",29,43.713584,-79.475768,"North",9947.02200379316,9.94702200379316
"30","AS043","MW030",30,43.71387,-79.505919,"North",11929.4361220938,11.9294361220938
