Row,Column,Block,Population,Family,Replicate,Alive_DC1,Comment,Date,Herbivory,Surveyor
1,1,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,2,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,3,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,4,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,5,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,6,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,7,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,8,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,9,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,10,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,11,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,12,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,13,1,40,3,5,1,,7/18/2020,"23,0,3,21,0",Sophie
1,14,1,41,2,5,1,,7/18/2020,"10,0,0,7,0",Sophie
1,15,1,14,2,1,1,,7/18/2020,"2,15,2,0,3",Sophie
1,16,1,40,4,5,0,,7/18/2020,0,Sophie
1,17,1,15,5,5,1,,7/18/2020,"0,0,23,0,0",Sophie
1,18,1,49,4,2,0,,7/18/2020,0,Sophie
1,19,1,7,2,2,1,,7/18/2020,"4,5,0,0,0",Sophie
1,20,1,29,3,5,0,,7/18/2020,0,Sophie
1,21,1,15,5,2,1,,7/18/2020,"52,6,18,3,0",Sophie
1,22,1,3,3,5,1,,7/18/2020,"20,3,2,3,20",Sophie
1,23,1,68,4,5,1,,7/18/2020,"0,3,4,0,2",Sophie
1,24,2,11,3,5,1,,7/18/2020,"15,3,2,0,0",Sophie
1,25,2,36,4,2,1,,7/18/2020,"0,0,0,0,02",Sophie
1,26,2,40,3,4,1,,7/18/2020,0,Sophie
1,27,2,67,3,5,1,,7/18/2020,"0,3,0,1,0",Sophie
1,28,2,13,3,4,0,,7/18/2020,0,Sophie
1,29,2,5,2,2,1,,7/18/2020,"0,0,0,0,0",Sophie
1,30,2,31,3,4,0,,7/18/2020,0,Sophie
1,31,2,31,1,1,1,,7/18/2020,"20,2,0,0,0",Sophie
1,32,2,62,5,2,1,,7/18/2020,"5,0,2,2,3",Sophie
1,33,2,13,1,5,1,,7/18/2020,"40,6,0,0,5",Sophie
1,34,2,13,2,3,1,,7/18/2020,"25,18,44,3,8",Sophie
1,35,2,19,3,2,1,,7/18/2020,"0,7,6,0,5",Sophie
1,36,2,30,3,1,1,,7/18/2020,"7,7,0,0,0",Sophie
1,37,2,18,1,2,1,,7/18/2020,"0,4,0,0,0",Sophie
1,38,2,31,5,1,1,,7/18/2020,"34,0,2,1,0",Sophie
1,39,2,7,4,2,1,,7/18/2020,0,Sophie
1,40,2,8,1,4,1,,7/18/2020,"5,6,0,4,3",Sophie
1,41,2,23,1,5,1,,7/18/2020,"0,8,1,0,1",Sophie
1,42,2,4,1,3,1,,7/18/2020,"0,0,6,0,0",Sophie
1,43,2,36,3,3,1,,7/18/2020,"0,6,2,0,0",Sophie
1,44,2,30,4,5,1,,7/18/2020,"10,12,0,0,1",Sophie
1,45,2,62,2,1,1,,7/18/2020,"0,0,0,0,0",Sophie
1,46,2,6,2,4,1,,7/18/2020,"28,0,1,0,0",Sophie
2,1,1,79,4,5,1,,7/18/2020,"5,3,4,3,0",Sophie
2,2,1,6,2,5,1,,7/18/2020,0,Sophie
2,3,1,68,1,4,1,,7/18/2020,"0,0,0,0,0",Sophie
2,4,1,39,2,1,1,,7/18/2020,0,Sophie
2,5,1,49,3,5,1,,7/18/2020,"0,0,0,0,0",Sophie
2,6,1,14,5,2,1,,7/18/2020,"7,13,0,0,4",Sophie
2,7,1,56,3,4,1,,7/18/2020,"0,0,0,0,05",Sophie
2,8,1,27,2,5,0,,7/18/2020,0,Sophie
2,9,1,21,3,4,1,,7/18/2020,"0,0,0,0,0",Sophie
2,10,1,14,2,2,1,,7/18/2020,"0,20,6,0,0",Sophie
2,11,1,72,2,1,1,,7/18/2020,"8,0,0,1,1",Sophie
2,12,1,2,1,1,1,,7/18/2020,"0,7,4,0,0",Sophie
2,13,1,36,2,4,1,,7/18/2020,"25,28,5,0,0",Sophie
2,14,1,35,2,1,1,,7/18/2020,"0,12,0,30,18",Sophie
2,15,1,15,3,4,0,,7/18/2020,"0,0,0,0,0",Sophie
2,16,1,40,2,2,1,,7/18/2020,"0,12,3,0,0",Sophie
2,17,1,46,1,5,1,,7/18/2020,"0,0,0,0,02",Sophie
2,18,1,6,4,2,1,,7/18/2020,"0,0,0,0,02",Sophie
2,19,1,9,1,3,1,,7/18/2020,"0,0,0,0,21",Sophie
2,20,1,18,5,1,1,,7/18/2020,"0,0,0,0,03",Sophie
2,21,1,79,1,4,1,,7/18/2020,"10,4,3,20,0",Sophie
2,22,1,77,1,5,1,,7/18/2020,"0,0,0,0,20",Sophie
2,23,1,31,4,2,1,,7/18/2020,"0,0,70,15,8",Sophie
2,24,2,47,2,3,1,,7/18/2020,"3,1,2,9,4",Sophie
2,25,2,68,5,3,1,,7/18/2020,"0,0,0,2,1",Sophie
