Row,Column,Block,Population,Family,Replicate,Comment,Date,Dead,Leaf_not_coll,Extra_leaf_for_DNA_Needed,Date_weighed_Soaked,Leaf_weight_g_Soaked,Photographed,Date_processed_ImageJ,Area_mm_sq,Length_mm,Width_mm,Len_div_wid,Comment,Dates_dried,Date_weighed_dried,Leaf_weight_g_Dried,Weighed_by,SLA,LDMC
1,1,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,2,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,3,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,4,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,5,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,6,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,7,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,8,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,9,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,10,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,11,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,12,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,13,1,40,3,5,,,0,,,8/6/2020,0.2239,yes,20200909,814.564,55.6,21.34,2.6054,,6/1/21-6/3/21,6/3/2021,0.0393,Olivia,20.72681934,0.175524788
1,14,1,41,2,5,,,0,,,8/6/2020,0.3874,yes,20200909,1349.979,77.91,24.53,3.1761,,6/1/21-6/3/21,6/3/2021,0.0678,Olivia,19.91119469,0.175012907
1,15,1,14,2,1,,,0,,,8/6/2020,0.6777,yes,20200909,2281.609,92.33,36.04,2.5619,,6/1/21-6/3/21,6/3/2021,0.1274,Olivia,17.90901884,0.187988786
1,16,1,40,4,5,,,1,,1,8/6/2020,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,17,1,15,5,5,,,0,,,8/6/2020,0.6936,yes,20200909,2178.332,90.59,33.54,2.701,,6/1/21-6/3/21,6/3/2021,0.132,Olivia,16.50251515,0.190311419
1,18,1,49,4,2,,,1,,1,8/6/2020,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,19,1,7,2,2,,,0,,,8/6/2020,0.5063,yes,20200909,1432.687,77.67,25.78,3.0128,,6/1/21-6/3/21,6/3/2021,0.0761,Olivia,18.82637319,0.150306143
1,20,1,29,3,5,,,1,,1,8/6/2020,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,21,1,15,5,2,,,0,,,8/6/2020,0.8036,yes,20200909,3523.049,111.83,43.84,2.5509,,6/1/21-6/3/21,6/3/2021,0.1529,Olivia,23.04152387,0.19026879
1,22,1,3,3,5,,,0,,,8/6/2020,no leaves on stem,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,23,1,68,4,5,,,0,,,8/6/2020,1.0827,yes,20200909,3430.158,99.46,47.6,2.0895,,6/1/21-6/3/21,6/3/2021,0.2265,Olivia,15.14418543,0.209199224
1,24,2,11,3,5,,,0,,,8/6/2020,0.4228,yes,20200909,1323.309,67.63,27.71,2.4406,,6/1/21-6/3/21,6/3/2021,0.0655,Olivia,20.20319084,0.154919584
1,25,2,36,4,2,,,0,,,8/6/2020,0.3816,yes,20200909,1320.151,74.91,25.39,2.9504,,6/1/21-6/3/21,6/3/2021,0.0678,Olivia,19.47125369,0.177672956
