Row,Column,Block,Population,Family,Replicate,Date,Weevil_dam_June,Scar_length_mm,Scar_length_mm_nocalculations,Dead
1,1,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,2,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,3,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,4,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,5,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,6,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,7,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,8,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,9,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,10,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,11,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,12,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,13,1,40,3,5,7/31/2020,0,0,0,0
1,14,1,41,2,5,7/31/2020,0,0,0,0
1,15,1,14,2,1,7/31/2020,1,14.48,14.48,0
1,16,1,40,4,5,7/31/2020,0,0,0,1
1,17,1,15,5,5,7/31/2020,0,0,0,0
1,18,1,49,4,2,7/31/2020,0,0,0,1
1,19,1,7,2,2,7/31/2020,4,91.94,91.94,0
1,20,1,29,3,5,7/31/2020,0,0,0,1
1,21,1,15,5,2,7/31/2020,1,21.32,21.32,0
1,22,1,3,3,5,7/31/2020,0,0,0,0
1,23,1,68,4,5,7/31/2020,1,0,0,0
1,24,2,11,3,5,7/31/2020,0,0,0,0
1,25,2,36,4,2,7/31/2020,0,0,0,0
1,26,2,40,3,4,7/31/2020,0,0,0,0
1,27,2,67,3,5,7/31/2020,0,0,0,0
1,28,2,13,3,4,7/31/2020,0,0,0,1
1,29,2,5,2,2,7/31/2020,0,0,0,0
1,30,2,31,3,4,7/31/2020,0,0,0,1
1,31,2,31,1,1,7/31/2020,0,0,0,0
1,32,2,62,5,2,7/31/2020,0,0,0,0
1,33,2,13,1,5,7/31/2020,0,0,0,0
1,34,2,13,2,3,7/31/2020,0,0,0,0
1,35,2,19,3,2,7/31/2020,0,0,0,0
1,36,2,30,3,1,7/31/2020,2,20.2,20.2,0
1,37,2,18,1,2,7/31/2020,1,8.92,8.92,0
1,38,2,31,5,1,7/31/2020,0,0,0,0
1,39,2,7,4,2,7/31/2020,0,0,0,1
1,40,2,8,1,4,7/31/2020,0,46.01,46.01,0
1,41,2,23,1,5,7/31/2020,0,0,0,0
1,42,2,4,1,3,7/31/2020,0,0,0,0
1,43,2,36,3,3,7/31/2020,1,62,62,0
1,44,2,30,4,5,7/31/2020,0,0,0,0
1,45,2,62,2,1,7/31/2020,1,16.63,16.63,0
1,46,2,6,2,4,7/31/2020,0,0,0,0
2,1,1,79,4,5,7/31/2020,0,0,0,0
2,2,1,6,2,5,7/31/2020,0,0,0,0
2,3,1,68,1,4,7/31/2020,1,6.26,6.26,0
2,4,1,39,2,1,7/31/2020,1,13.03,13.03,0
2,5,1,49,3,5,7/31/2020,1,5.84,5.84,0
2,6,1,14,5,2,7/31/2020,2,7.06,7.06,0
2,7,1,56,3,4,7/31/2020,0,0,0,0
2,8,1,27,2,5,7/31/2020,0,0,0,0
2,9,1,21,3,4,7/31/2020,1,47.38,47.38,0
2,10,1,14,2,2,7/31/2020,0,0,0,0
2,11,1,72,2,1,7/31/2020,0,0,0,0
2,12,1,2,1,1,7/31/2020,0,10.02,10.02,0
2,13,1,36,2,4,7/31/2020,0,9.25,9.25,0
2,14,1,35,2,1,7/31/2020,0,0,0,0
2,15,1,15,3,4,7/31/2020,0,0,0,0
2,16,1,40,2,2,7/31/2020,1,35.56,35.56,0
2,17,1,46,1,5,7/31/2020,3,50.93,50.93,0
2,18,1,6,4,2,7/31/2020,2,6.62,6.62,0
2,19,1,9,1,3,7/31/2020,0,0,0,0
2,20,1,18,5,1,7/31/2020,0,0,0,0
2,21,1,79,1,4,7/31/2020,0,0,0,0
2,22,1,77,1,5,7/31/2020,1,93.04,93.04,0
2,23,1,31,4,2,7/31/2020,2,28.7,28.7,0
2,24,2,47,2,3,7/31/2020,0,0,0,0
2,25,2,68,5,3,7/31/2020,1,19.51,19.51,0
2,26,2,28,1,4,7/31/2020,0,0,0,0
2,27,2,14,3,5,7/31/2020,0,0,0,0
2,28,2,2,5,5,7/31/2020,0,0,0,0
2,29,2,42,2,2,7/31/2020,0,0,0,1
2,30,2,41,1,1,7/31/2020,0,0,0,0
2,31,2,68,3,3,7/31/2020,0,0,0,0
2,32,2,14,4,2,7/31/2020,0,0,0,1
2,33,2,72,1,2,7/31/2020,0,0,0,0
2,34,2,2,4,3,7/31/2020,0,0,0,0
2,35,2,4,1,2,7/31/2020,0,0,0,0
2,36,2,49,4,3,7/31/2020,0,0,0,0
2,37,2,17,2,4,7/31/2020,0,0,0,0
2,38,2,6,1,3,7/31/2020,0,0,0,0
2,39,2,77,2,2,7/31/2020,0,0,0,0
2,40,2,47,2,4,7/31/2020,1,14.34,14.34,0
2,41,2,64,1,3,7/31/2020,0,4.52,4.52,0
2,42,2,57,5,1,7/31/2020,0,0,0,0
