"","Row","Column","Block","Population","Family","Replicate","Date_early","Surveyor_early","Comment_early","Scar_length_mm","Total_Height_early","Ramets_early","Date_late","Surveyor_late","Comment_late","Total_Height_late","Ramets_late","date_diff"
"1",1,13,"1","40","3","5","7/3/2021","Sophie",NA,NA,37.8,4,"8/24/2021","Hayden",NA,13.3,1,52
"2",1,14,"1","41","2","5","7/3/2021","Sophie",NA,72.5,45.8,3,"8/24/2021","Hayden",NA,64.9,1,52
"3",1,15,"1","14","2","1","7/3/2021","Sophie",NA,NA,36.3,5,"8/24/2021","Hayden",NA,0,0,52
"4",1,16,"1","40","4","5","7/3/2021","Sophie",NA,NA,0,0,"8/24/2021","Hayden",NA,0,0,52
"5",1,17,"1","15","5","5","7/3/2021","Sophie",NA,34.7,84.5,3,"8/24/2021","Hayden",NA,155.4,3,52
"6",1,18,"1","49","4","2","7/3/2021","Sophie",NA,NA,0,0,"8/24/2021","Hayden",NA,0,0,52
"7",1,19,"1","7","2","2","7/3/2021","Sophie",NA,117.3,84.4,4,"8/24/2021","Hayden",NA,295.8,5,52
"8",1,20,"1","29","3","5","7/3/2021","Sophie",NA,NA,0,0,"8/24/2021","Hayden",NA,0,0,52
"9",1,21,"1","15","5","2","7/3/2021","Sophie",NA,61.7,59.5,3,"8/24/2021","Hayden",NA,59.8,1,52
"10",1,22,"1","3","3","5","7/3/2021","Sophie",NA,7.2,67.8,5,"8/24/2021","Hayden",NA,64,2,52
"11",1,23,"1","68","4","5","7/3/2021","Sophie",NA,100.7,154.8,4,"8/24/2021","Hayden",NA,171.8,3,52
"12",1,24,"2","11","3","5","7/3/2021","Sophie",NA,23.6,81.3,4,"8/24/2021","Hayden",NA,145.3,3,52
"13",1,25,"2","36","4","2","7/3/2021","Sophie",NA,35,62.3,4,"8/24/2021","Hayden",NA,72.7,2,52
"14",1,26,"2","40","3","4","7/3/2021","Sophie",NA,NA,17.3,3,"8/24/2021","Hayden",NA,22.6,1,52
"15",1,27,"2","67","3","5","7/3/2021","Sophie",NA,NA,18.3,3,"8/24/2021","Hayden",NA,25.4,3,52
"16",1,28,"2","13","3","4","7/3/2021","Sophie",NA,NA,0,0,"8/24/2021","Hayden",NA,0,0,52
"17",1,29,"2","5","2","2","7/3/2021","Sophie",NA,47.7,129.1,6,"8/24/2021","Hayden",NA,176.5,3,52
"18",1,30,"2","31","3","4","7/3/2021","Sophie",NA,NA,0,0,"8/24/2021","Hayden",NA,0,0,52
"19",1,31,"2","31","1","1","7/3/2021","Sophie",NA,100.7,208.3,7,"8/24/2021","Hayden",NA,216,4,52
"20",1,32,"2","62","5","2","7/3/2021","Samer",NA,NA,203.8,4,"8/24/2021","Hayden",NA,230.3,4,52
"21",1,33,"2","13","1","5","7/3/2021","Samer",NA,NA,38.6,2,"8/24/2021","Hayden",NA,29.6,1,52
"22",1,34,"2","13","2","3","7/3/2021","Samer",NA,15.73,64.2,3,"8/24/2021","Hayden",NA,73.2,3,52
"23",1,35,"2","19","3","2","7/3/2021","Samer",NA,NA,108.7,6,"8/24/2021","Hayden",NA,161.3,5,52
"24",1,36,"2","30","3","1","7/3/2021","Samer",NA,18.75,66.4,5,"8/24/2021","Hayden",NA,76.9,3,52
"25",1,37,"2","18","1","2","7/3/2021","Samer",NA,165.39,170.3,6,"8/24/2021","Hayden",NA,137.7,4,52
"26",1,38,"2","31","5","1","7/3/2021","Samer",NA,30.37,45.7,2,"8/24/2021","Hayden",NA,71.4,2,52
"27",1,39,"2","7","4","2","7/3/2021","Samer",NA,58.08,41.4,1,"8/24/2021","Hayden",NA,63.1,1,52
"28",1,40,"2","8","1","4","7/3/2021","Samer",NA,298.56,331.8,7,"8/24/2021","Hayden",NA,538.1,7,52
"29",1,41,"2","23","1","5","7/3/2021","Samer",NA,71.14,113.5,4,"8/24/2021","Hayden",NA,158.5,3,52
"30",1,42,"2","4","1","3","7/3/2021","Samer",NA,80.17,69,3,"8/24/2021","Hayden",NA,143.3,3,52
"31",1,43,"2","36","3","3","7/3/2021","Samer",NA,54.69,196,5,"8/24/2021","Hayden",NA,273.2,4,52
"32",1,44,"2","30","4","5","7/3/2021","Samer",NA,NA,47.8,3,"8/24/2021","Hayden",NA,51,3,52
"33",1,45,"2","62","2","1","7/3/2021","Samer",NA,26.78,40.2,2,"8/24/2021","Hayden",NA,125.7,3,52
"34",1,46,"2","6","2","4","7/3/2021","Samer",NA,NA,31.1,4,"8/24/2021","Hayden",NA,59.6,4,52
"35",2,1,"1","79","4","5","7/3/2021","Sophie",NA,216.5,331.2,8,"8/24/2021","Hayden",NA,527.7,7,52
"36",2,2,"1","6","2","5","7/3/2021","Sophie",NA,16.1,55.8,2,"8/24/2021","Hayden",NA,95.8,2,52
"37",2,3,"1","68","1","4","7/3/2021","Sophie",NA,145.7,125.8,6,"8/24/2021","Hayden",NA,105.7,2,52
"38",2,4,"1","39","2","1","7/3/2021","Sophie",NA,NA,21.8,1,"8/24/2021","Hayden",NA,110.5,3,52
"39",2,5,"1","49","3","5","7/3/2021","Sophie",NA,109.2,155.9,4,"8/24/2021","Hayden",NA,309.2,5,52
"40",2,6,"1","14","5","2","7/3/2021","Sophie",NA,46.4,103.9,7,"8/24/2021","Hayden",NA,185.2,6,52
"41",2,7,"1","56","3","4","7/3/2021","Sophie",NA,NA,11.3,1,"8/24/2021","Hayden",NA,0,0,52
"42",2,8,"1","27","2","5","7/3/2021","Sophie",NA,NA,0,0,"8/24/2021","Hayden",NA,0,0,52
"43",2,9,"1","21","3","4","7/3/2021","Sophie",NA,58.6,49,4,"8/24/2021","Hayden",NA,72.4,2,52
"44",2,10,"1","14","2","2","7/3/2021","Sophie",NA,164.5,83.7,5,"8/24/2021","Hayden",NA,116.7,4,52
"45",2,11,"1","72","2","1","7/3/2021","Sophie",NA,95.3,94.8,6,"8/24/2021","Hayden",NA,291.4,5,52
"46",2,12,"1","2","1","1","7/3/2021","Sophie",NA,115.44,78.5,5,"8/24/2021","Hayden",NA,116,3,52
"47",2,13,"1","36","2","4","7/3/2021","Sophie",NA,41.5,81.2,4,"8/24/2021","Hayden",NA,84.2,2,52
"48",2,14,"1","35","2","1","7/3/2021","Sophie",NA,221.6,213.3,7,"8/24/2021","Hayden",NA,267.5,4,52
"49",2,15,"1","15","3","4","7/3/2021","Sophie",NA,NA,14.2,1,"8/24/2021","Hayden",NA,26.1,1,52
"50",2,16,"1","40","2","2","7/3/2021","Sophie",NA,NA,89.6,3,"8/24/2021","Hayden",NA,145.4,3,52
"51",2,17,"1","46","1","5","7/3/2021","Sophie",NA,193,185.2,10,"8/24/2021","Hayden",NA,109.1,4,52
"52",2,18,"1","6","4","2","7/3/2021","Sophie",NA,213.2,233.9,12,"8/24/2021","Hayden",NA,245.5,4,52
"53",2,19,"1","9","1","3","7/3/2021","Sophie",NA,NA,21,1,"8/24/2021","Hayden",NA,33.4,1,52
"54",2,20,"1","18","5","1","7/3/2021","Sophie",NA,23,78.1,4,"8/24/2021","Hayden",NA,60.1,1,52
