"","Row","Column","Block","Population","Family","Replicate","Surveyor","Date","Monarch_Quantity_Observed","Liriomyza_asclepiadis","Labidomera_clivicollis","Comment","Sample"
"13",1,13,"1","40","3","5","Samer","7/16/21",0,0,0,NA,"Early"
"14",1,14,"1","41","2","5","Samer","7/16/21",0,3,0,NA,"Early"
"15",1,15,"1","14","2","1","Samer","7/16/21",0,0,0,NA,"Early"
"16",1,16,"1","40","4","5","Samer","7/16/21",0,0,0,NA,"Early"
"17",1,17,"1","15","5","5","Samer","7/16/21",1,2,0,NA,"Early"
"18",1,18,"1","49","4","2","Samer","7/16/21",0,0,0,NA,"Early"
"19",1,19,"1","7","2","2","Samer","7/16/21",1,1,0,NA,"Early"
"20",1,20,"1","29","3","5","Samer","7/16/21",0,0,0,NA,"Early"
"21",1,21,"1","15","5","2","Samer","7/16/21",0,3,0,NA,"Early"
"22",1,22,"1","3","3","5","Samer","7/16/21",0,3,0,NA,"Early"
"23",1,23,"1","68","4","5","Samer","7/16/21",1,1,0,NA,"Early"
"24",1,24,"2","11","3","5","Samer","7/16/21",1,4,0,NA,"Early"
"25",1,25,"2","36","4","2","Samer","7/16/21",0,0,0,NA,"Early"
"26",1,26,"2","40","3","4","Samer","7/16/21",0,0,0,NA,"Early"
"27",1,27,"2","67","3","5","Samer","7/16/21",0,0,0,NA,"Early"
"28",1,28,"2","13","3","4","Samer","7/16/21",0,0,0,NA,"Early"
"29",1,29,"2","5","2","2","Samer","7/16/21",2,5,0,NA,"Early"
"30",1,30,"2","31","3","4","Samer","7/16/21",0,0,0,NA,"Early"
"31",1,31,"2","31","1","1","Samer","7/16/21",0,7,0,NA,"Early"
"32",1,32,"2","62","5","2","Samer","7/16/21",2,2,0,NA,"Early"
"33",1,33,"2","13","1","5","Samer","7/16/21",1,0,0,NA,"Early"
"34",1,34,"2","13","2","3","Samer","7/16/21",3,2,0,NA,"Early"
"35",1,35,"2","19","3","2","Samer","7/16/21",0,6,0,NA,"Early"
"36",1,36,"2","30","3","1","Samer","7/16/21",1,2,0,NA,"Early"
