"","Row","Column","Block","Population","Family","Replicate","Alive","Herbivory","Date","Surveyor","Comment"
"13",1,13,"1","40","3","5",1,"0,0,0,0,54","8/27/2021","Sophie",NA
"14",1,14,"1","41","2","5",1,"16,12,0,0,6","8/27/2021","Sophie",NA
"15",1,15,"1","14","2","1",0,NA,"8/27/2021","Sophie",NA
"16",1,16,"1","40","4","5",0,NA,"8/27/2021","Sophie",NA
"17",1,17,"1","15","5","5",1,"0,0,0,0,04","8/27/2021","Sophie",NA
"18",1,18,"1","49","4","2",0,NA,"8/27/2021","Sophie",NA
"19",1,19,"1","7","2","2",1,"5,0,2,1,0","8/27/2021","Sophie",NA
"20",1,20,"1","29","3","5",0,NA,"8/27/2021","Sophie",NA
"21",1,21,"1","15","5","2",1,"2,0,0,0,14","8/27/2021","Sophie",NA
"22",1,22,"1","3","3","5",1,"2,5,26,0,4","8/27/2021","Sophie",NA
"23",1,23,"1","68","4","5",1,"0,0,0,0,18","8/27/2021","Sophie",NA
"24",1,24,"2","11","3","5",1,"20,2,2,1,0","8/27/2021","Sophie",NA
"25",1,25,"2","36","4","2",1,"0,5,16,28,0","8/27/2021","Sophie",NA
"26",1,26,"2","40","3","4",1,"44,5,4,16,0","8/27/2021","Sophie",NA
"27",1,27,"2","67","3","5",0,NA,"8/27/2021","Sophie",NA
"28",1,28,"2","13","3","4",0,NA,"8/27/2021","Sophie",NA
"29",1,29,"2","5","2","2",1,"2,3,0,30,3","8/27/2021","Sophie",NA
"30",1,30,"2","31","3","4",0,NA,"8/27/2021","Sophie",NA
"31",1,31,"2","31","1","1",1,"2,2,0,2,0","8/27/2021","Sophie",NA
"32",1,32,"2","62","5","2",1,"0,0,0,0,02","8/27/2021","Sophie",NA
"33",1,33,"2","13","1","5",1,"1,0,0,6,0","8/27/2021","Sophie",NA
"34",1,34,"2","13","2","3",1,"0,5,2,0,2","8/27/2021","Sophie",NA
"35",1,35,"2","19","3","2",1,"0,8,1,3,0","8/27/2021","Sophie",NA
"36",1,36,"2","30","3","1",1,"0,25,5,1,0","8/27/2021","Sophie",NA
"37",1,37,"2","18","1","2",1,"0,1,6,3,40","8/27/2021","Sophie",NA
"38",1,38,"2","31","5","1",1,"2,2,1,0,0","8/27/2021","Sophie",NA
"39",1,39,"2","7","4","2",1,"2,1,30,18,3","8/27/2021","Sophie",NA
"40",1,40,"2","8","1","4",1,"5,3,0,0,0","8/27/2021","Sophie",NA
"41",1,41,"2","23","1","5",1,"0,1,2,0,2","8/27/2021","Sophie",NA
"42",1,42,"2","4","1","3",1,"0,20,2,2,1","8/27/2021","Sophie",NA
"43",1,43,"2","36","3","3",1,"0,0,0,0,04","8/27/2021","Sophie",NA
"44",1,44,"2","30","4","5",1,"5,1,6,12,8","8/27/2021","Sophie",NA
"45",1,45,"2","62","2","1",1,"0,3,4,1,0","8/27/2021","Sophie",NA
"46",1,46,"2","6","2","4",1,"6,32,3,5,46","8/27/2021","Sophie",NA
"47",2,1,"1","79","4","5",1,"0,0,0,0,04","8/27/2021","Sophie",NA
"48",2,2,"1","6","2","5",1,"0,0,0,0,10","8/27/2021","Sophie",NA
"49",2,3,"1","68","1","4",1,"28,1,1,1,2","8/27/2021","Sophie",NA
"50",2,4,"1","39","2","1",1,"2,0,3,0,1","8/27/2021","Sophie",NA
"51",2,5,"1","49","3","5",1,"0,8,2,7,3","8/27/2021","Sophie",NA
"52",2,6,"1","14","5","2",1,"6,0,18,0,0","8/27/2021","Sophie",NA
"53",2,7,"1","56","3","4",0,NA,"8/27/2021","Sophie",NA
"54",2,8,"1","27","2","5",0,NA,"8/27/2021","Sophie",NA
"55",2,9,"1","21","3","4",1,"27,0,0,3,1","8/27/2021","Sophie",NA
"56",2,10,"1","14","2","2",1,"18,3,18,14,5","8/27/2021","Sophie",NA
"57",2,11,"1","72","2","1",1,"3,2,2,0,1","8/27/2021","Sophie",NA
"58",2,12,"1","2","1","1",1,"5,2,0,0,0","8/27/2021","Sophie",NA
"59",2,13,"1","36","2","4",1,"6,10,0,0,8","8/27/2021","Sophie",NA
"60",2,14,"1","35","2","1",1,"0,0,4,1,0","8/27/2021","Sophie",NA
"61",2,15,"1","15","3","4",1,"2,5,2,3,2","8/27/2021","Sophie",NA
"62",2,16,"1","40","2","2",1,"2,2,1,1,1","8/27/2021","Sophie",NA
"63",2,17,"1","46","1","5",0,NA,"8/27/2021","Sophie",NA
"64",2,18,"1","6","4","2",1,"10,4,2,0,0","8/27/2021","Sophie",NA
"65",2,19,"1","9","1","3",1,"2,10,60,28","8/27/2021","Sophie",NA
"66",2,20,"1","18","5","1",1,"0,2,2,3,3","8/27/2021","Sophie",NA
"67",2,21,"1","79","1","4",1,"1,0,2,3,0","8/27/2021","Sophie",NA
"68",2,22,"1","77","1","5",1,"0,2,3,1,0","8/27/2021","Sophie",NA
"69",2,23,"1","31","4","2",1,"8,6,10,1,0","8/27/2021","Sophie",NA
"70",2,24,"2","47","2","3",1,"0,4,1,16,2","8/27/2021","Sophie",NA
"71",2,25,"2","68","5","3",1,"0,18,5,0,4","8/27/2021","Sophie",NA
"72",2,26,"2","28","1","4",1,"0,3,33,28,0","8/27/2021","Sophie",NA
"73",2,27,"2","14","3","5",1,"0,0,0,0,03","8/27/2021","Sophie",NA
"74",2,28,"2","2","5","5",1,"0,0,0,0,0","8/27/2021","Sophie",NA
"75",2,29,"2","42","2","2",0,NA,"8/27/2021","Sophie",NA
"76",2,30,"2","41","1","1",1,"4,3,2,4,2","8/27/2021","Sophie",NA
"77",2,31,"2","68","3","3",1,"5,2,0,3,10","8/27/2021","Sophie",NA
