"","Row","Column","Block","Population","Family","Replicate","Date","Surveyor","Comment","Scar_length_mm"
"13",1,13,"1","40","3","5","7/3/2021","Sophie",NA,0
"14",1,14,"1","41","2","5","7/3/2021","Sophie",NA,72.5
"15",1,15,"1","14","2","1","7/3/2021","Sophie",NA,0
"16",1,16,"1","40","4","5","7/3/2021","Sophie",NA,0
"17",1,17,"1","15","5","5","7/3/2021","Sophie",NA,34.7
"18",1,18,"1","49","4","2","7/3/2021","Sophie",NA,0
"19",1,19,"1","7","2","2","7/3/2021","Sophie",NA,117.3
"20",1,20,"1","29","3","5","7/3/2021","Sophie",NA,0
"21",1,21,"1","15","5","2","7/3/2021","Sophie",NA,61.7
"22",1,22,"1","3","3","5","7/3/2021","Sophie",NA,7.2
"23",1,23,"1","68","4","5","7/3/2021","Sophie",NA,100.7
"24",1,24,"2","11","3","5","7/3/2021","Sophie",NA,23.6
"25",1,25,"2","36","4","2","7/3/2021","Sophie",NA,35
"26",1,26,"2","40","3","4","7/3/2021","Sophie",NA,0
"27",1,27,"2","67","3","5","7/3/2021","Sophie",NA,0
"28",1,28,"2","13","3","4","7/3/2021","Sophie",NA,0
"29",1,29,"2","5","2","2","7/3/2021","Sophie",NA,47.7
"30",1,30,"2","31","3","4","7/3/2021","Sophie",NA,0
"31",1,31,"2","31","1","1","7/3/2021","Sophie",NA,100.7
"32",1,32,"2","62","5","2","7/3/2021","Samer",NA,0
"33",1,33,"2","13","1","5","7/3/2021","Samer",NA,0
"34",1,34,"2","13","2","3","7/3/2021","Samer",NA,15.73
"35",1,35,"2","19","3","2","7/3/2021","Samer",NA,0
"36",1,36,"2","30","3","1","7/3/2021","Samer",NA,18.75
"37",1,37,"2","18","1","2","7/3/2021","Samer",NA,165.39
"38",1,38,"2","31","5","1","7/3/2021","Samer",NA,30.37
"39",1,39,"2","7","4","2","7/3/2021","Samer",NA,58.08
"40",1,40,"2","8","1","4","7/3/2021","Samer",NA,298.56
"41",1,41,"2","23","1","5","7/3/2021","Samer",NA,71.14
"42",1,42,"2","4","1","3","7/3/2021","Samer",NA,80.17
"43",1,43,"2","36","3","3","7/3/2021","Samer",NA,54.69
"44",1,44,"2","30","4","5","7/3/2021","Samer",NA,0
"45",1,45,"2","62","2","1","7/3/2021","Samer",NA,26.78
"46",1,46,"2","6","2","4","7/3/2021","Samer",NA,0
"47",2,1,"1","79","4","5","7/3/2021","Sophie",NA,216.5
"48",2,2,"1","6","2","5","7/3/2021","Sophie",NA,16.1
"49",2,3,"1","68","1","4","7/3/2021","Sophie",NA,145.7
"50",2,4,"1","39","2","1","7/3/2021","Sophie",NA,0
"51",2,5,"1","49","3","5","7/3/2021","Sophie",NA,109.2
"52",2,6,"1","14","5","2","7/3/2021","Sophie",NA,46.4
"53",2,7,"1","56","3","4","7/3/2021","Sophie",NA,0
"54",2,8,"1","27","2","5","7/3/2021","Sophie",NA,0
"55",2,9,"1","21","3","4","7/3/2021","Sophie",NA,58.6
"56",2,10,"1","14","2","2","7/3/2021","Sophie",NA,164.5
"57",2,11,"1","72","2","1","7/3/2021","Sophie",NA,95.3
"58",2,12,"1","2","1","1","7/3/2021","Sophie",NA,115.44
"59",2,13,"1","36","2","4","7/3/2021","Sophie",NA,41.5
"60",2,14,"1","35","2","1","7/3/2021","Sophie",NA,221.6
"61",2,15,"1","15","3","4","7/3/2021","Sophie",NA,0
"62",2,16,"1","40","2","2","7/3/2021","Sophie",NA,0
"63",2,17,"1","46","1","5","7/3/2021","Sophie",NA,193
"64",2,18,"1","6","4","2","7/3/2021","Sophie",NA,213.2
"65",2,19,"1","9","1","3","7/3/2021","Sophie",NA,0
"66",2,20,"1","18","5","1","7/3/2021","Sophie",NA,23
"67",2,21,"1","79","1","4","7/3/2021","Sophie",NA,119
"68",2,22,"1","77","1","5","7/3/2021","Sophie",NA,70.1
"69",2,23,"1","31","4","2","7/3/2021","Sophie",NA,62.4
"70",2,24,"2","47","2","3","7/3/2021","Sophie",NA,1.6
"71",2,25,"2","68","5","3","7/3/2021","Sophie",NA,0
"72",2,26,"2","28","1","4","7/3/2021","Sophie",NA,55.6
"73",2,27,"2","14","3","5","7/3/2021","Sophie",NA,16.8
"74",2,28,"2","2","5","5","7/3/2021","Sophie",NA,53.4
"75",2,29,"2","42","2","2","7/3/2021","Sophie",NA,0
"76",2,30,"2","41","1","1","7/3/2021","Sophie",NA,51.9
"77",2,31,"2","68","3","3","7/3/2021","Sophie",NA,132.5
"78",2,32,"2","14","4","2","7/3/2021","Sophie",NA,0
"79",2,33,"2","72","1","2","7/3/2021","Sophie",NA,162.42
"80",2,34,"2","2","4","3","7/3/2021","Sophie",NA,74.7
"81",2,35,"2","4","1","2","7/3/2021","Sophie",NA,103.4
"82",2,36,"2","49","4","3","7/3/2021","Sophie",NA,16.3
"83",2,37,"2","17","2","4","7/3/2021","Sophie",NA,0
"84",2,38,"2","6","1","3","7/3/2021","Sophie",NA,136
"85",2,39,"2","77","2","2","7/3/2021","Sophie",NA,354
"86",2,40,"2","47","2","4","7/3/2021","Sophie",NA,190.1
"87",2,41,"2","64","1","3","7/3/2021","Sophie",NA,291.4
"88",2,42,"2","57","5","1","7/3/2021","Sophie",NA,13.5
"89",2,43,"2","57","1","4","7/3/2021","Sophie",NA,66.6
"90",2,44,"2","15","2","3","7/3/2021","Sophie",NA,31.2
"91",2,45,"2","79","5","2","7/3/2021","Sophie",NA,147.8
"92",2,46,"2","17","5","4","7/3/2021","Sophie",NA,77.29
"93",3,1,"1","12","5","1","7/3/2021","Samer",NA,173.5
"94",3,2,"1","68","3","4","7/3/2021","Samer",NA,150.56
"95",3,3,"1","14","5","1","7/3/2021","Samer",NA,82.48
"96",3,4,"1","9","2","2","7/3/2021","Samer",NA,88.17
"97",3,5,"1","13","5","5","7/3/2021","Samer",NA,51.38
"98",3,6,"1","1","1","2","7/3/2021","Samer",NA,0
"99",3,7,"1","68","3","5","7/3/2021","Samer",NA,0
"100",3,8,"1","15","4","1","7/3/2021","Samer",NA,42.17
"101",3,9,"1","4","3","5","7/3/2021","Samer",NA,0
"102",3,10,"1","2","5","3","7/3/2021","Samer",NA,0
"103",3,11,"1","49","3","4","7/3/2021","Samer",NA,14.92
"104",3,12,"1","15","2","4","7/3/2021","Samer",NA,54.31
"105",3,13,"1","39","2","2","7/3/2021","Samer",NA,126.56
"106",3,14,"1","2","2","5","7/3/2021","Samer",NA,240
"107",3,15,"1","64","3","2","7/3/2021","Samer",NA,17.8
"108",3,16,"1","31","2","2","7/3/2021","Samer",NA,91.32
"109",3,17,"1","8","2","5","7/3/2021","Samer",NA,21.82
"110",3,18,"1","17","1","1","7/3/2021","Samer",NA,555.71
"111",3,19,"1","18","1","4","7/3/2021","Samer",NA,169.66
"112",3,20,"1","36","2","2","7/3/2021","Samer",NA,183.99
"113",3,21,"1","7","3","1","7/3/2021","Samer",NA,0
"114",3,22,"1","69","2","1","7/3/2021","Samer",NA,38.82
"115",3,23,"1","30","5","4","7/3/2021","Samer",NA,80.16
"116",3,24,"2","4","4","5","7/3/2021","Samer",NA,19.02
"117",3,25,"2","16","3","4","7/3/2021","Samer",NA,0
"118",3,26,"2","62","3","1","7/3/2021","Samer",NA,79.16
"119",3,27,"2","39","4","2","7/3/2021","Samer",NA,31.34
"120",3,28,"2","77","3","2","7/3/2021","Samer",NA,64.83
"121",3,29,"2","4","4","4","7/3/2021","Samer",NA,128.15
"122",3,30,"2","72","1","3","7/3/2021","Samer",NA,0
"123",3,31,"2","56","4","4","7/3/2021","Samer",NA,184.69
"124",3,32,"2","36","3","5","7/3/2021","Samer",NA,0
"125",3,33,"2","21","2","5","7/3/2021","Samer",NA,0
"126",3,34,"2","31","1","3","7/3/2021","Samer",NA,60.16
"127",3,35,"2","77","5","5","7/3/2021","Samer",NA,113.66
"128",3,36,"2","72","2","3","7/3/2021","Samer",NA,47.49
"129",3,37,"2","56","2","1","7/3/2021","Samer",NA,40.26
"130",3,38,"2","46","2","3","7/3/2021","Samer",NA,240.53
"131",3,39,"2","49","5","3","7/3/2021","Samer",NA,279.13
"132",3,40,"2","12","5","3","7/3/2021","Samer",NA,305.33
"133",3,41,"2","67","4","3","7/3/2021","Samer",NA,176.31
"134",3,42,"2","46","2","2","7/3/2021","Samer",NA,343.95
"135",3,43,"2","40","5","2","7/3/2021","Samer",NA,0
"136",3,44,"2","67","2","5","7/3/2021","Samer",NA,76.84
"137",3,45,"2","1","1","5","7/3/2021","Samer",NA,51.11
"138",3,46,"2","19","1","1","7/3/2021","Samer",NA,153.24
"139",4,1,"1","21","4","1","7/3/2021","Sophie",NA,153.2
"140",4,2,"1","79","2","1","7/3/2021","Sophie",NA,97.9
"141",4,3,"1","12","4","1","7/3/2021","Sophie",NA,111.1
"142",4,4,"1","47","3","5","7/3/2021","Sophie",NA,3.3
"143",4,5,"1","47","1","1","7/3/2021","Sophie",NA,41.9
"144",4,6,"1","21","2","3","7/3/2021","Sophie",NA,196.9
"145",4,7,"1","1","2","1","7/3/2021","Sophie",NA,41.1
"146",4,8,"1","1","2","2","7/3/2021","Sophie",NA,25.5
"147",4,9,"1","30","4","3","7/3/2021","Sophie",NA,55.12
"148",4,10,"1","61","5","1","7/3/2021","Sophie",NA,0
"149",4,11,"1","1","4","1","7/3/2021","Sophie",NA,67
"150",4,12,"1","6","4","5","7/3/2021","Sophie",NA,0
"151",4,13,"1","17","4","4","7/3/2021","Sophie",NA,0
"152",4,14,"1","79","4","4","7/3/2021","Sophie",NA,0
"153",4,15,"1","36","2","1","7/3/2021","Sophie",NA,44.4
"154",4,16,"1","4","1","1","7/3/2021","Sophie",NA,57.7
"155",4,17,"1","56","4","2","7/3/2021","Sophie",NA,88.1
"156",4,18,"1","67","1","4","7/3/2021","Sophie",NA,99.6
"157",4,19,"1","2","3","1","7/3/2021","Sophie",NA,18.3
"158",4,20,"1","8","1","1","7/3/2021","Sophie",NA,28.5
"159",4,21,"1","72","5","5","7/3/2021","Sophie",NA,14.1
"160",4,22,"1","12","4","4","7/3/2021","Sophie",NA,0
"161",4,23,"1","74","2","5","7/3/2021","Sophie",NA,24
"162",4,24,"2","77","1","4","7/3/2021","Sophie",NA,40.4
"163",4,25,"2","15","2","5","7/3/2021","Sophie",NA,62.4
"164",4,26,"2","56","2","3","7/3/2021","Sophie",NA,59.1
"165",4,27,"2","32","1","2","7/3/2021","Sophie",NA,181.6
"166",4,28,"2","68","4","3","7/3/2021","Sophie",NA,80.5
"167",4,29,"2","23","1","2","7/3/2021","Sophie",NA,0
"168",4,30,"2","4","1","4","7/3/2021","Sophie",NA,80.3
"169",4,31,"2","6","3","1","7/3/2021","Sophie",NA,10.9
"170",4,32,"2","72","5","3","7/3/2021","Sophie",NA,145.5
"171",4,33,"2","4","3","2","7/3/2021","Sophie",NA,88
"172",4,34,"2","51","4","3","7/3/2021","Sophie",NA,71.7
"173",4,35,"2","20","3","2","7/3/2021","Sophie",NA,0
"174",4,36,"2","7","5","5","7/3/2021","Sophie",NA,206.8
"175",4,37,"2","36","5","3","7/3/2021","Sophie",NA,360.09
"176",4,38,"2","40","5","3","7/3/2021","Sophie",NA,177.22
"177",4,39,"2","18","1","1","7/3/2021","Sophie",NA,59.2
"178",4,40,"2","36","1","4","7/3/2021","Sophie",NA,167.9
"179",4,41,"2","36","1","5","7/3/2021","Sophie",NA,190.2
