"","Row","Column","Block","Population","Family","Replicate","Survival_LateJune","Survival_LateJune_Date","Survival_LateJune_Comment","Survival_LateJune_Surveyor","Survival_LateAugust","Survival_LateAugust_Date","Survival_LateAugust_Comment","Survival_LateAugust_Surveyor"
"13",1,13,"1","40","3","5","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"14",1,14,"1","41","2","5","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"15",1,15,"1","14","2","1","0","6/24/2022",NA,"Yimin","0","8/23/2022",NA,"Yimin"
"16",1,16,"1","40","4","5","0","6/24/2022",NA,"Yimin","0","8/23/2022",NA,"Yimin"
"17",1,17,"1","15","5","5","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"18",1,18,"1","49","4","2","0","6/24/2022",NA,"Yimin","0","8/23/2022",NA,"Yimin"
"19",1,19,"1","7","2","2","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"20",1,20,"1","29","3","5","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"21",1,21,"1","15","5","2","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"22",1,22,"1","3","3","5","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"23",1,23,"1","68","4","5","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"24",1,24,"2","11","3","5","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"25",1,25,"2","36","4","2","0","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"26",1,26,"2","40","3","4","0","6/24/2022",NA,"Yimin","0","8/23/2022",NA,"Yimin"
"27",1,27,"2","67","3","5","1","6/24/2022","wilting","Yimin","1","8/23/2022",NA,"Yimin"
"28",1,28,"2","13","3","4","0","6/24/2022",NA,"Yimin","0","8/23/2022",NA,"Yimin"
"29",1,29,"2","5","2","2","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"30",1,30,"2","31","3","4","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"31",1,31,"2","31","1","1","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"32",1,32,"2","62","5","2","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"33",1,33,"2","13","1","5","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"34",1,34,"2","13","2","3","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"35",1,35,"2","19","3","2","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"36",1,36,"2","30","3","1","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"37",1,37,"2","18","1","2","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"38",1,38,"2","31","5","1","1","6/24/2022",NA,"Yimin","0","8/23/2022",NA,"Yimin"
"39",1,39,"2","7","4","2","0","6/24/2022",NA,"Yimin","0","8/23/2022",NA,"Yimin"
"40",1,40,"2","8","1","4","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"41",1,41,"2","23","1","5","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"42",1,42,"2","4","1","3","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"43",1,43,"2","36","3","3","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"44",1,44,"2","30","4","5","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"45",1,45,"2","62","2","1","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"46",1,46,"2","6","2","4","1","6/24/2022",NA,"Yimin","0","8/23/2022",NA,"Yimin"
"47",2,1,"1","79","4","5","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"48",2,2,"1","6","2","5","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"49",2,3,"1","68","1","4","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"50",2,4,"1","39","2","1","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"51",2,5,"1","49","3","5","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"52",2,6,"1","14","5","2","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"53",2,7,"1","56","3","4","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"54",2,8,"1","27","2","5","0","6/24/2022",NA,"Yimin","0","8/23/2022",NA,"Yimin"
"55",2,9,"1","21","3","4","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"56",2,10,"1","14","2","2","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"57",2,11,"1","72","2","1","0","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"58",2,12,"1","2","1","1","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"59",2,13,"1","36","2","4","1","6/24/2022","wilting","Yimin","1","8/23/2022",NA,"Yimin"
"60",2,14,"1","35","2","1","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"61",2,15,"1","15","3","4","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"62",2,16,"1","40","2","2","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"63",2,17,"1","46","1","5","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"64",2,18,"1","6","4","2","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"65",2,19,"1","9","1","3","1","6/24/2022",NA,"Yimin","0","8/23/2022",NA,"Yimin"
"66",2,20,"1","18","5","1","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"67",2,21,"1","79","1","4","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"68",2,22,"1","77","1","5","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"69",2,23,"1","31","4","2","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"70",2,24,"2","47","2","3","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"71",2,25,"2","68","5","3","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
"72",2,26,"2","28","1","4","1","6/24/2022",NA,"Yimin","1","8/23/2022",NA,"Yimin"
