"","Population","Row","Column","Block","Family","Replicate","Dead","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_score","Year","Urb_Rur","Pop_ID"
"1","1",13,43,4,"3","1","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
"2","1",9,46,2,"1","4","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
"3","1",13,27,4,"2","3","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
"4","1",11,18,1,"2","4","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
"5","1",12,2,3,"3","2","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
"6","1",7,37,2,"1","1","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
"7","1",20,15,3,"3","3","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
"8","1",9,5,1,"4","3","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
"9","1",6,35,2,"3","4","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
"10","1",20,11,3,"5","4","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
"11","1",6,38,2,"4","5","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
"12","1",4,43,2,"3","5","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
"13","1",4,8,1,"2","2","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
"14","1",16,23,3,"5","3","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
"15","1",17,46,4,"4","4","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
"16","1",4,7,1,"2","1","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
"17","1",3,6,1,"1","2","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
"18","1",13,31,4,"2","5","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
"19","1",10,5,1,"5","2","0","AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,"2019",NA,NA
