Row,Col,Pop,Fam,Rep
1,37,18,1,2
1,39,7,4,2
2,3,68,1,4
2,5,49,3,5
2,33,72,1,2
2,39,77,2,2
2,40,47,2,4
2,41,64,1,3
2,45,79,5,2
3,1,12,5,1
3,5,13,5,5
3,14,2,2,5
3,18,17,1,1
3,20,36,2,2
3,28,77,3,2
3,34,31,1,3
3,35,77,5,5
3,39,49,5,3
3,40,12,5,3
4,1,21,4,1
4,6,21,2,3
4,27,32,1,2
4,33,4,3,2
4,34,51,4,3
4,36,7,5,5
4,37,36,5,3
4,38,40,5,3
4,46,46,4,1
5,6,8,3,5
5,7,11,1,2
5,16,47,1,5
5,18,46,5,3
5,39,77,5,1
6,19,19,5,2
6,27,5,5,3
7,16,68,1,5
7,29,39,2,5
7,33,12,2,2
7,34,57,4,5
7,37,1,1,1
7,38,64,3,4
7,39,19,5,3
7,40,30,4,4
7,41,16,3,5
7,46,29,5,2
8,2,57,1,2
8,20,15,5,1
8,32,4,3,3
8,33,21,1,2
8,34,77,4,3
9,1,28,1,5
9,30,36,4,1
10,12,72,4,4
10,22,46,1,1
10,28,61,4,1
10,37,57,1,1
11,3,11,1,3
11,9,2,1,2
11,23,39,5,1
11,28,12,2,1
11,35,40,3,2
11,36,68,5,4
11,46,31,1,5
12,33,35,5,2
13,9,77,4,4
13,26,49,1,2
13,37,39,5,4
14,7,21,1,4
14,12,35,3,1
14,16,35,2,5
14,27,6,5,2
14,31,2,1,3
14,32,12,2,3
14,39,13,2,1
15,16,1,5,5
15,37,5,1,1
15,41,40,3,3
15,43,20,5,2
16,4,77,2,1
16,7,31,1,2
16,33,18,2,5
17,8,46,3,4
17,17,12,2,5
17,46,1,4,4
18,17,11,1,5
18,30,21,1,5
19,45,15,3,2
20,32,79,1,2
21,3,31,1,4
